Results for:	Listing of Longitudinal Aberration Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US003884556_Example03P.zmx
Title:	US 3,884,556 Example 3 (Olympus 21mm f3.5 G Zuiko Auto-W)
Date:	11/7/2025 3:51:01 PM

0 message(s) in output.
1 series table(s) in output.

Table series: Units are Millimeters.
      Rel. Pupil          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------
      0.00000000    -0.032458179 -4.1993966E-003     0.040869844
     0.010000000    -0.032498879 -4.2425831E-003     0.040826041
     0.020000000    -0.032661619 -4.4152723E-003     0.040650884
     0.030000000    -0.032932647 -4.7028874E-003     0.040359155
     0.040000000    -0.033311650 -5.1051277E-003     0.039951150
     0.050000000    -0.033798194 -5.6215719E-003     0.039427287
     0.060000000    -0.034391720 -6.2516780E-003     0.038788103
     0.070000000    -0.035091540 -6.9947823E-003     0.038034252
     0.080000000    -0.035896844 -7.8500996E-003     0.037166514
     0.090000000    -0.036806695 -8.8167222E-003     0.036185785
      0.10000000    -0.037820026 -9.8936191E-003     0.035093087
      0.11000000    -0.038935646    -0.011079636     0.033889561
      0.12000000    -0.040152232    -0.012373492     0.032576473
      0.13000000    -0.041468331    -0.013773784     0.031155216
      0.14000000    -0.042882362    -0.015278978     0.029627303
      0.15000000    -0.044392609    -0.016887414     0.027994380
      0.16000000    -0.045997222    -0.018597303     0.026258215
      0.17000000    -0.047694218    -0.020406725     0.024420710
      0.18000000    -0.049481477    -0.022313627     0.022483894
      0.19000000    -0.051356740    -0.024315824     0.020449932
      0.20000000    -0.053317608    -0.026410993     0.018321120
      0.21000000    -0.055361541    -0.028596677     0.016099891
      0.22000000    -0.057485855    -0.030870277     0.013788815
      0.23000000    -0.059687720    -0.033229054     0.011390604
      0.24000000    -0.061964158    -0.035670127  8.9081079E-003
      0.25000000    -0.064312041    -0.038190467  6.3443234E-003
      0.26000000    -0.066728088    -0.040786900  3.7023922E-003
      0.27000000    -0.069208862    -0.043456100  9.8560522E-004
      0.28000000    -0.071750771    -0.046194588 -1.8025958E-003
      0.29000000    -0.074350057    -0.048998731 -4.6586149E-003
      0.30000000    -0.077002803    -0.051864735 -7.5786995E-003
      0.31000000    -0.079704924    -0.054788647    -0.010558937
      0.32000000    -0.082452162    -0.057766349    -0.013595254
      0.33000000    -0.085240091    -0.060793555    -0.016683407
      0.34000000    -0.088064103    -0.063865807    -0.019818988
      0.35000000    -0.090919414    -0.066978474    -0.022997414
      0.36000000    -0.093801052    -0.070126746    -0.026213924
      0.37000000    -0.096703858    -0.073305631    -0.029463581
      0.38000000    -0.099622483    -0.076509952    -0.032741261
      0.39000000     -0.10255138    -0.079734340    -0.036041653
      0.40000000     -0.10548480    -0.082973234    -0.039359253
      0.41000000     -0.10841678    -0.086220872    -0.042688362
      0.42000000     -0.11134118    -0.089471290    -0.046023078
      0.43000000     -0.11425159    -0.092718315    -0.049357294
      0.44000000     -0.11714144    -0.095955564    -0.052684692
      0.45000000     -0.12000389    -0.099176431    -0.055998739
      0.46000000     -0.12283188     -0.10237409    -0.059292681
      0.47000000     -0.12561812     -0.10554148    -0.062559535
      0.48000000     -0.12835508     -0.10867133    -0.065792090
      0.49000000     -0.13103498     -0.11175608    -0.068982896
      0.50000000     -0.13364976     -0.11478797    -0.072124250
      0.51000000     -0.13619114     -0.11775897    -0.075208219
      0.52000000     -0.13865054     -0.12066078    -0.078226593
      0.53000000     -0.14101912     -0.12348486    -0.081170914
      0.54000000     -0.14328776     -0.12622237    -0.084032440
      0.55000000     -0.14544702     -0.12886420    -0.086802161
      0.56000000     -0.14748721     -0.13140095    -0.089470782
      0.57000000     -0.14939830     -0.13382294    -0.092028712
      0.58000000     -0.15116995     -0.13612016    -0.094466062
      0.59000000     -0.15279150     -0.13828232    -0.096772636
      0.60000000     -0.15425198     -0.14029877    -0.098937920
      0.61000000     -0.15554004     -0.14215857     -0.10095107
      0.62000000     -0.15664401     -0.14385041     -0.10280092
      0.63000000     -0.15755186     -0.14536267     -0.10447595
      0.64000000     -0.15825118     -0.14668333     -0.10596429
      0.65000000     -0.15872917     -0.14780004     -0.10725371
      0.66000000     -0.15897267     -0.14870005     -0.10833160
      0.67000000     -0.15896808     -0.14937023     -0.10918498
      0.68000000     -0.15870143     -0.14979706     -0.10980046
      0.69000000     -0.15815830     -0.14996659     -0.11016424
      0.70000000     -0.15732383     -0.14986446     -0.11026214
      0.71000000     -0.15618272     -0.14947588     -0.11007951
      0.72000000     -0.15471921     -0.14878562     -0.10960129
      0.73000000     -0.15291707     -0.14777797     -0.10881193
      0.74000000     -0.15075957     -0.14643677     -0.10769545
      0.75000000     -0.14822948     -0.14474536     -0.10623538
      0.76000000     -0.14530905     -0.14268659     -0.10441475
      0.77000000     -0.14198002     -0.14024279     -0.10221608
      0.78000000     -0.13822356     -0.13739578    -0.099621384
      0.79000000     -0.13402029     -0.13412680    -0.096612118
      0.80000000     -0.12935023     -0.13041658    -0.093169201
      0.81000000     -0.12419285     -0.12624523    -0.089272979
      0.82000000     -0.11852696     -0.12159231    -0.084903212
      0.83000000     -0.11233076     -0.11643673    -0.080039060
      0.84000000     -0.10558182     -0.11075680    -0.074659066
      0.85000000    -0.098257007     -0.10453019    -0.068741132
      0.86000000    -0.090332535    -0.097733903    -0.062262512
      0.87000000    -0.081783896    -0.090344249    -0.055199779
      0.88000000    -0.072585863    -0.082336853    -0.047528820
      0.89000000    -0.062712464    -0.073686615    -0.039224807
      0.90000000    -0.052136960    -0.064367697    -0.030262181
      0.91000000    -0.040831825    -0.054353497    -0.020614629
      0.92000000    -0.028768725    -0.043616634    -0.010255066
      0.93000000    -0.015918491    -0.032128921  8.4439237E-004
      0.94000000 -2.2511028E-003    -0.019861346     0.012712444
      0.95000000     0.012264341 -6.7840469E-003     0.025378630
      0.96000000     0.027659656  7.1337220E-003     0.038873367
      0.97000000     0.043967528     0.021923553     0.053227907
      0.98000000     0.061221673     0.037618028     0.068474486
      0.99000000     0.079456750     0.054250646     0.084646244
       1.0000000     0.098708426     0.071855880      0.10177729
