Results for:	
File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\WO2019-187633_Example01P.zmx
Title:	WO 2019/187633 Example 1 (Sony FE 135mm F1.8 GM)
Date:	11/7/2025 5:55:12 PM

0 message(s) in output.
3 series table(s) in output.

Table series: Data for wavelength : 0.486133 µm.
   Y Angle (deg)       Tan Shift       Sag Shift     Real Height     Ref. Height      Distortion
       7.4479259     0.070240177     0.042293403       17.200616       17.105434      0.55644725
       7.5410249     0.068221950     0.041664742       17.420297       17.321726      0.56906309
       7.6341240     0.066115925     0.041047291       17.640139       17.538110      0.58175333
       7.7272231     0.063921258     0.040442462       17.860143       17.754590      0.59451394
       7.8203222     0.061637093     0.039851716       18.080311       17.971164      0.60734080
       7.9134212     0.059262552     0.039276571       18.300642       18.187836      0.62022967
       8.0065203     0.056796730     0.038718601       18.521139       18.404605      0.63317620
       8.0996194     0.054238686     0.038179433       18.741801       18.621473      0.64617594
       8.1927184     0.051587434     0.037660754       18.962630       18.838442      0.65922431
       8.2858175     0.048841933     0.037164305       19.183626       19.055512      0.67231661
       8.3789166     0.046001078     0.036691887       19.404790       19.272685      0.68544803
       8.4720157     0.043063688     0.036245357       19.626122       19.489962      0.69861363
       8.5651147     0.040028498     0.035826633       19.847623       19.707344      0.71180837
       8.6582138     0.036894143     0.035437691       20.069293       19.924833      0.72502705
       8.7513129     0.033659147     0.035080566       20.291134       20.142429      0.73826438
       8.8444120     0.030321912     0.034757356       20.513144       20.360134      0.75151491
       8.9375110     0.026880700     0.034470216       20.735324       20.577950      0.76477307
       9.0306101     0.023333626     0.034221364       20.957675       20.795876      0.77803318
       9.1237092     0.019678632     0.034013078       21.180196       21.013915      0.79128939
       9.2168083     0.015913479     0.033847696       21.402888       21.232068      0.80453575
       9.3099073     0.012035730     0.033727619       21.625750       21.450337      0.81776614

Table series: Data for wavelength : 0.587562 µm.
   Y Angle (deg)       Tan Shift       Sag Shift     Real Height     Ref. Height      Distortion
  --------------  --------------  --------------  --------------  --------------  --------------
      0.00000000     0.011428004     0.011428004      0.00000000      0.00000000      0.00000000
     0.093099073     0.011446270     0.011423701      0.21274172      0.21274153  9.1362014E-005
      0.18619815     0.011504127     0.011410790      0.42548573      0.42548418  3.6543001E-004
      0.27929722     0.011601444     0.011389260      0.63823432      0.63822907  8.2217547E-004
      0.37239629     0.011737999     0.011359097      0.85098978      0.85097734  1.4615466E-003
      0.46549537     0.011913476     0.011320277       1.0637544       1.0637301  2.2834706E-003
      0.55859444     0.012127470     0.011272772       1.2765304       1.2764885  3.2878511E-003
      0.65169351     0.012379484     0.011216548       1.4893202       1.4892536  4.4745792E-003
      0.74479259     0.012668934     0.011151565       1.7021260       1.7020266  5.8435161E-003
      0.83789166     0.012995144     0.011077777       1.9149501       1.9148086  7.3945047E-003
      0.93099073     0.013357355     0.010995131       2.1277948       2.1276006  9.1273661E-003
       1.0240898     0.013754717     0.010903572       2.3406624       2.3404040     0.011041900
       1.1171889     0.014186300     0.010803037       2.5535551       2.5532196     0.013137883
       1.2102880     0.014651088     0.010693460       2.7664752       2.7660488     0.015415071
       1.3033870     0.015147985     0.010574769       2.9794250       2.9788926     0.017873196
       1.3964861     0.015675814     0.010446889       3.1924068       3.1917521     0.020511968
       1.4895852     0.016233323     0.010309741       3.4054229       3.4046285     0.023331072
       1.5826842     0.016819182     0.010163244       3.6184754       3.6175229     0.026330171
       1.6757833     0.017431990     0.010007310       3.8315667       3.8304364     0.029508903
       1.7688824     0.018070273  9.8418530E-003       4.0446991       4.0433701     0.032866881
       1.8619815     0.018732490  9.6667823E-003       4.2578747       4.2563252     0.036403694
       1.9550805     0.019417035  9.4820066E-003       4.4710959       4.4693029     0.040118905
       2.0481796     0.020122236  9.2874327E-003       4.6843649       4.6823041     0.044012051
       2.1412787     0.020846364  9.0829674E-003       4.8976839       4.8953301     0.048082642
       2.2343778     0.021587631  8.8685173E-003       5.1110552       5.1083820     0.052330161
       2.3274768     0.022344193  8.6439897E-003       5.3244810       5.3214609     0.056754063
       2.4205759     0.023114157  8.4092929E-003       5.5379636       5.5345679     0.061353775
       2.5136750     0.023895581  8.1643368E-003       5.7515051       5.7477042     0.066128694
       2.6067741     0.024686476  7.9090338E-003       5.9651078       5.9608710     0.071078188
       2.6998731     0.025484813  7.6432994E-003       6.1787740       6.1740692     0.076201596
       2.7929722     0.026288525  7.3670527E-003       6.3925057       6.3873002     0.081498222
       2.8860713     0.027095506  7.0802173E-003       6.6063053       6.6005649     0.086967340
       2.9791703     0.027903622  6.7827218E-003       6.8201748       6.8138646     0.092608194
       3.0722694     0.028710707  6.4745007E-003       7.0341166       7.0272004     0.098419989
       3.1653685     0.029514574  6.1554950E-003       7.2481327       7.2405734      0.10440190
       3.2584676     0.030313009  5.8256531E-003       7.4622254       7.4539848      0.11055306
       3.3515666     0.031103785  5.4849317E-003       7.6763967       7.6674356      0.11687258
       3.4446657     0.031884656  5.1332963E-003       7.8906489       7.8809270      0.12335952
       3.5377648     0.032653366  4.7707220E-003       8.1049841       8.0944603      0.13001291
       3.6308639     0.033407652  4.3971947E-003       8.3194044       8.3080364      0.13683173
       3.7239629     0.034145246  4.0127117E-003       8.5339120       8.5216566      0.14381493
       3.8170620     0.034863877  3.6172825E-003       8.7485089       8.7353219      0.15096142
       3.9101611     0.035561278  3.2109297E-003       8.9631973       8.9490336      0.15827007
       4.0032601     0.036235187  2.7936901E-003       9.1779792       9.1627928      0.16573969
       4.0963592     0.036883350  2.3656152E-003       9.3928567       9.3766006      0.17336906
       4.1894583     0.037503524  1.9267727E-003       9.6078319       9.5904582      0.18115692
       4.2825574     0.038093483  1.4772465E-003       9.8229069       9.8043666      0.18910194
       4.3756564     0.038651015  1.0171386E-003       10.038084       10.018327      0.19720277
       4.4687555     0.039173933  5.4656937E-004       10.253364       10.232341      0.20545800
       4.5618546     0.039660069  6.5678931E-005       10.468750       10.446409      0.21386616
       4.6549537     0.040107283 -4.2537226E-004       10.684244       10.660533      0.22242574
       4.7480527     0.040513464 -9.2640212E-004       10.899848       10.874713      0.23113517
       4.8411518     0.040876530 -1.4372065E-003       11.115564       11.088951      0.23999284
       4.9342509     0.041194432 -1.9575576E-003       11.331393       11.303248      0.24899708
       5.0273500     0.041465158 -2.4872033E-003       11.547338       11.517605      0.25814614
       5.1204490     0.041686733 -3.0258660E-003       11.763400       11.732024      0.26743824
       5.2135481     0.041857217 -3.5732422E-003       11.979581       11.946505      0.27687153
       5.3066472     0.041974714 -4.1290008E-003       12.195884       12.161049      0.28644411
       5.3997462     0.042037369 -4.6927824E-003       12.412310       12.375659      0.29615399
       5.4928453     0.042043369 -5.2641983E-003       12.628860       12.590334      0.30599915
       5.5859444     0.041990945 -5.8428297E-003       12.845538       12.805076      0.31597748
       5.6790435     0.041878373 -6.4282264E-003       13.062343       13.019887      0.32608682
       5.7721425     0.041703974 -7.0199061E-003       13.279279       13.234767      0.33632493
       5.8652416     0.041466114 -7.6173531E-003       13.496347       13.449718      0.34668950
       5.9583407     0.041163204 -8.2200176E-003       13.713548       13.664740      0.35717816
       6.0514398     0.040793702 -8.8273146E-003       13.930884       13.879836      0.36778846
       6.1445388     0.040356108 -9.4386230E-003       14.148357       14.095005      0.37851787
       6.2376379     0.039848969    -0.010053284       14.365969       14.310250      0.38936379
       6.3307370     0.039270873    -0.010670602       14.583720       14.525571      0.40032354
       6.4238361     0.038620449    -0.011289842       14.801614       14.740970      0.41139436
       6.5169351     0.037896368    -0.011910226       15.019650       14.956448      0.42257342
       6.6100342     0.037097337    -0.012530940       15.237830       15.172006      0.43385779
       6.7031333     0.036222101    -0.013151125       15.456157       15.387644      0.44524446
       6.7962323     0.035269437    -0.013769880       15.674631       15.603366      0.45673033
       6.8893314     0.034238152    -0.014386260       15.893254       15.819171      0.46831223
       6.9824305     0.033127079    -0.014999275       16.112026       16.035060      0.47998688
       7.0755296     0.031935076    -0.015607891       16.330950       16.251036      0.49175091
       7.1686286     0.030661020    -0.016211027       16.550027       16.467099      0.50360087
       7.2617277     0.029303803    -0.016807553       16.769257       16.683250      0.51553320
       7.3548268     0.027862326    -0.017396293       16.988642       16.899490      0.52754425
       7.4479259     0.026335496    -0.017976022       17.208184       17.115821      0.53963027
       7.5410249     0.024722220    -0.018545465       17.427882       17.332245      0.55178740
       7.6341240     0.023021395    -0.019103296       17.647738       17.548761      0.56401169
       7.7272231     0.021231910    -0.019648139       17.867753       17.765372      0.57629908
       7.8203222     0.019352628    -0.020178564       18.087928       17.982078      0.58864540
       7.9134212     0.017382389    -0.020693091       18.308264       18.198881      0.60104637
       8.0065203     0.015319996    -0.021190184       18.528762       18.415782      0.61349761
       8.0996194     0.013164207    -0.021668256       18.749422       18.632782      0.62599461
       8.1927184     0.010913728    -0.022125663       18.970245       18.849882      0.63853277
       8.2858175  8.5672045E-003    -0.022560707       19.191231       19.067084      0.65110735
       8.3789166  6.1232075E-003    -0.022971635       19.412382       19.284389      0.66371350
       8.4720157  3.5802264E-003    -0.023356635       19.633698       19.501798      0.67634626
       8.5651147  9.3665688E-004    -0.023713841       19.855178       19.719312      0.68900053
       8.6582138 -1.8092114E-003    -0.024041330       20.076825       19.936933      0.70167110
       8.7513129 -4.6592059E-003    -0.024337121       20.298637       20.154661      0.71435263
       8.8444120 -7.6152854E-003    -0.024599173       20.520615       20.372499      0.72703966
       8.9375110    -0.010679554    -0.024825391       20.742759       20.590446      0.73972659
       9.0306101    -0.013854272    -0.025013619       20.965070       20.808505      0.75240770
       9.1237092    -0.017141877    -0.025161643       21.187547       21.026677      0.76507712
       9.2168083    -0.020544994    -0.025267192       21.410190       21.244962      0.77772886
       9.3099073    -0.024066456    -0.025327935       21.633000       21.463363      0.79035681

Table series: Data for wavelength : 0.656273 µm.
   Y Angle (deg)       Tan Shift       Sag Shift     Real Height     Ref. Height      Distortion
  --------------  --------------  --------------  --------------  --------------  --------------
      0.00000000     0.077586376     0.077586376      0.00000000      0.00000000      0.00000000
     0.093099073     0.077605172     0.077582046      0.21264219      0.21264184  1.6479583E-004
      0.18619815     0.077665050     0.077569050      0.42528666      0.42528481  4.3467854E-004
      0.27929722     0.077765882     0.077547380      0.63793566      0.63793002  8.8444784E-004
      0.37239629     0.077907443     0.077517021      0.85059148      0.85057860  1.5140509E-003
      0.46549537     0.078089421     0.077477950       1.0632564       1.0632317  2.3234135E-003
      0.55859444     0.078311409     0.077430140       1.2759326       1.2758904  3.3124218E-003
      0.65169351     0.078572913     0.077373557       1.4886225       1.4885558  4.4809958E-003
      0.74479259     0.078873349     0.077308162       1.7013282       1.7012291  5.8289785E-003
      0.83789166     0.079212043     0.077233909       1.9140521       1.9139113  7.3562096E-003
      0.93099073     0.079588237     0.077150749       2.1267964       2.1266037  9.0625069E-003
       1.0240898     0.080001083     0.077058625       2.3395634       2.3393073     0.010947666
       1.1171889     0.080449652     0.076957478       2.5523554       2.5520233     0.013011460
       1.2102880     0.080932930     0.076847241       2.7651745       2.7647527     0.015253638
       1.3033870     0.081449823     0.076727846       2.9780230       2.9774968     0.017673929
       1.3964861     0.081999156     0.076599219       3.1909033       3.1902566     0.020272036
       1.4895852     0.082579678     0.076461282       3.4038176       3.4030332     0.023047640
       1.5826842     0.083190061     0.076313956       3.6167680       3.6158279     0.026000396
       1.6757833     0.083828906     0.076157157       3.8297569       3.8286416     0.029129935
       1.7688824     0.084494741     0.075990799       4.0427864       4.0414756     0.032435865
       1.8619815     0.085186026     0.075814795       4.2558589       4.2543309     0.035917767
       1.9550805     0.085901156     0.075629055       4.4689766       4.4672087     0.039575194
       2.0481796     0.086638463     0.075433488       4.6821417       4.6801101     0.043407677
       2.1412787     0.087396215     0.075228005       4.8953563       4.8930363     0.047414716
       2.2343778     0.088172627     0.075012514       5.1086228       5.1059884     0.051595787
       2.3274768     0.088965857     0.074786925       5.3219434       5.3189674     0.055950333
       2.4205759     0.089774010     0.074551149       5.5353202       5.5319746     0.060477774
       2.5136750     0.090595143     0.074305100       5.7487555       5.7450111     0.065177495
       2.6067741     0.091427270     0.074048692       5.9622515       5.9580779     0.070048856
       2.6998731     0.092268359     0.073781843       6.1758103       6.1711763     0.075091182
       2.7929722     0.093116340     0.073504477       6.3894342       6.3843073     0.080303768
       2.8860713     0.093969108     0.073216519       6.6031253       6.5974722     0.085685877
       2.9791703     0.094824524     0.072917901       6.8168857       6.8106719     0.091236740
