Results for:	Listing of Longitudinal Aberration Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\Imaging_Optics_Figure_7_7.zmx
Title:	Aprochromatic collimator (365 to 1050 nm), Imaging Optics p. 434 
Date:	11/7/2025 3:44:05 PM

0 message(s) in output.
1 series table(s) in output.

Table series: Units are Millimeters.
      Rel. Pupil          0.3650          0.3900          0.4200          0.4500          0.4800          0.5500          0.6500          0.8500          1.0500
  --------------  --------------  --------------  --------------  --------------  --------------  --------------  --------------  --------------  --------------
      0.00000000    -0.015958737  3.6133325E-003     0.020025633     0.033220537     0.044725888     0.067099220     0.090164528      0.11311119      0.11615611
     0.010000000    -0.015960389  3.6081637E-003     0.020017175     0.033209513     0.044712814     0.067082687     0.090144891      0.11308811      0.11613096
     0.020000000    -0.015966984  3.5875023E-003     0.019983358     0.033165429     0.044660534     0.067016569     0.090066351      0.11299579      0.11603036
     0.030000000    -0.015977923  3.5531157E-003     0.019927043     0.033092001     0.044573444     0.066906415     0.089935491      0.11284196      0.11586273
     0.040000000    -0.015993131  3.5050774E-003     0.019848300     0.032989297     0.044451610     0.066752285     0.089752371      0.11262667      0.11562812
     0.050000000    -0.016012498  3.4434904E-003     0.019747227     0.032857412     0.044295124     0.066554269     0.089517074      0.11235001      0.11532662
     0.060000000    -0.016035887  3.3684872E-003     0.019623953     0.032696468     0.044104104     0.066312478     0.089229707      0.11201207      0.11495831
     0.070000000    -0.016063127  3.2802298E-003     0.019478630     0.032506614     0.043878697     0.066027051     0.088890402      0.11161299      0.11452332
     0.080000000    -0.016094017  3.1789101E-003     0.019311443     0.032288027     0.043619073     0.065698149     0.088499313      0.11115290      0.11402179
     0.090000000    -0.016128326  3.0647493E-003     0.019122604     0.032040911     0.043325431     0.065325963     0.088056621      0.11063198      0.11345388
      0.10000000    -0.016165790  2.9379985E-003     0.018912351     0.031765497     0.042997994     0.064910704     0.087562529      0.11005042      0.11281978
      0.11000000    -0.016206115  2.7989389E-003     0.018680954     0.031462045     0.042637015     0.064452612     0.087017263      0.10940843      0.11211971
      0.12000000    -0.016248975  2.6478813E-003     0.018428711     0.031130841     0.042242772     0.063951951     0.086421077      0.10870626      0.11135388
      0.13000000    -0.016294013  2.4851670E-003     0.018155946     0.030772200     0.041815570     0.063409010     0.085774247      0.10794416      0.11052255
      0.14000000    -0.016340838  2.3111674E-003     0.017863015     0.030386464     0.041355742     0.062824107     0.085077072      0.10712242      0.10962600
      0.15000000    -0.016389031  2.1262840E-003     0.017550303     0.029974003     0.040863646     0.062197581     0.084329880      0.10624135      0.10866453
      0.16000000    -0.016438139  1.9309494E-003     0.017218222     0.029535215     0.040339670     0.061529800     0.083533020      0.10530128      0.10763844
      0.17000000    -0.016487675  1.7256264E-003     0.016867214     0.029070528     0.039784228     0.060821158     0.082686866      0.10430257      0.10654810
