Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US07777974-2.zmx
Title:	
Date:	11/7/2025 5:10:03 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000       2.1575364       3.0876170       1.1624751       1.7550392
       1.4000000       2.1856921       3.0843552       1.2313534       1.8153190
       2.8000000       2.2757493       3.0809345       1.4304744       1.9932120
       4.2000000       2.4432431       3.0973546       1.7468906       2.2828902
       5.6000000       2.7101551       3.1689331       2.1747895       2.6809599
       7.0000000       3.1002793       3.3454156       2.7177209       3.1892530
       8.4000000       3.6356130       3.6832821       3.3858899       3.8148320
       9.8000000       4.3352570       4.2323468       4.1935867       4.5689159
       11.200000       5.2163225       5.0262557       5.1576522       5.4657899
       12.600000       6.2953613       6.0837352       6.2966347       6.5219921
       14.000000       7.5893546       7.4158665       7.6302879       7.7557693
       15.400000       9.1160810       9.0319560       9.1792220       9.1867371
       16.800000       10.894012       10.941735       10.964599       10.835690
       18.200000       12.941771       13.154745       13.007695       12.724449
       19.600000       15.276633       15.677269       15.328739       14.875294
       21.000000       17.909782       18.504352       17.942850       17.308258
