Results for:	
File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US08031409-1.zmx
Title:	
Date:	11/7/2025 5:49:17 PM

0 message(s) in output.
3 series table(s) in output.

Table series: Data for wavelength : 0.486133 µm.
        Y Height       Tan Shift       Sag Shift     Real Height     Ref. Height      Distortion
  --------------  --------------  --------------  --------------  --------------  --------------
      0.00000000     -0.24012791     -0.24012791      0.00000000      0.00000000      0.00000000
      0.13923928     -0.24014138     -0.24014411      0.13934766      0.13934764  1.3228826E-005
      0.27847856     -0.24018228     -0.24019268      0.27869579      0.27869528  1.7955764E-004
      0.41771784     -0.24025061     -0.24027363      0.41804484      0.41804293  4.5681569E-004
      0.55695712     -0.24034633     -0.24038692      0.55739528      0.55739057  8.4495075E-004
      0.69619641     -0.24046939     -0.24053251      0.69674758      0.69673821  1.3439366E-003
      0.83543569     -0.24061976     -0.24071037      0.83610219      0.83608585  1.9537394E-003
      0.97467497     -0.24079735     -0.24092043      0.97545958      0.97543350  2.6743181E-003
       1.1139142     -0.24100210     -0.24116264       1.1148202       1.1147811  3.5056238E-003
       1.2531535     -0.24123391     -0.24143691       1.2541846       1.2541288  4.4476001E-003
       1.3923928     -0.24149270     -0.24174315       1.3935531       1.3934764  5.5001831E-003
       1.5316321     -0.24177833     -0.24208128       1.5329262       1.5328241  6.6633015E-003
       1.6708714     -0.24209070     -0.24245119       1.6723044       1.6721717  7.9368760E-003
       1.8101107     -0.24242966     -0.24285276       1.8116882       1.8115194  9.3208200E-003
       1.9493499     -0.24279506     -0.24328585       1.9510780       1.9508670     0.010815039
       2.0885892     -0.24318676     -0.24375035       2.0904742       2.0902146     0.012419431
       2.2278285     -0.24360456     -0.24424609       2.2298774       2.2295623     0.014133886
       2.3670678     -0.24404830     -0.24477292       2.3692880       2.3689099     0.015958287
       2.5063071     -0.24451777     -0.24533067       2.5087064       2.5082576     0.017892508
       2.6455463     -0.24501276     -0.24591917       2.6481330       2.6476052     0.019936416
       2.7847856     -0.24553306     -0.24653822       2.7875685       2.7869528     0.022089870
       2.9240249     -0.24607843     -0.24718762       2.9270131       2.9263005     0.024352721
       3.0632642     -0.24664863     -0.24786717       3.0664674       3.0656481     0.026724812
       3.2025035     -0.24724339     -0.24857665       3.2059318       3.2049958     0.029205978
       3.3417427     -0.24786245     -0.24931581       3.3454068       3.3443434     0.031796046
       3.4809820     -0.24850553     -0.25008443       3.4848928       3.4836911     0.034494834
       3.6202213     -0.24917231     -0.25088225       3.6243902       3.6230387     0.037302154
       3.7594606     -0.24986251     -0.25170900       3.7638995       3.7623863     0.040217807
       3.8986999     -0.25057579     -0.25256441       3.9034212       3.9017340     0.043241588
       4.0379392     -0.25131182     -0.25344820       4.0429556       4.0410816     0.046373281
       4.1771784     -0.25207025     -0.25436007       4.1825033       4.1804293     0.049612665
       4.3164177     -0.25285071     -0.25529971       4.3220646       4.3197769     0.052959507
       4.4556570     -0.25365284     -0.25626680       4.4616401       4.4591246     0.056413568
       4.5948963     -0.25447625     -0.25726102       4.6012301       4.5984722     0.059974600
       4.7341356     -0.25532052     -0.25828203       4.7408351       4.7378198     0.063642343
       4.8733748     -0.25618525     -0.25932947       4.8804555       4.8771675     0.067416533
       5.0126141     -0.25707001     -0.26040298       5.0200917       5.0165151     0.071296893
       5.1518534     -0.25797434     -0.26150219       5.1597443       5.1558628     0.075283139
       5.2910927     -0.25889780     -0.26262670       5.2994135       5.2952104     0.079374979
       5.4303320     -0.25983990     -0.26377613       5.4390998       5.4345581     0.083572108
       5.5695712     -0.26080017     -0.26495006       5.5788037       5.5739057     0.087874215
       5.7088105     -0.26177809     -0.26614807       5.7185256       5.7132533     0.092280977
       5.8480498     -0.26277316     -0.26736974       5.8582658       5.8526010     0.096792065
       5.9872891     -0.26378483     -0.26861460       5.9980249       5.9919486      0.10140714
       6.1265284     -0.26481257     -0.26988222       6.1378032       6.1312963      0.10612584
       6.2657676     -0.26585580     -0.27117211       6.2776010       6.2706439      0.11094782
       6.4050069     -0.26691396     -0.27248379       6.4174190       6.4099915      0.11587269
       6.5442462     -0.26798645     -0.27381679       6.5572573       6.5493392      0.12090009
       6.6834855     -0.26907265     -0.27517057       6.6971166       6.6886868      0.12602962
       6.8227248     -0.27017196     -0.27654464       6.8369970       6.8280345      0.13126087
       6.9619641     -0.27128371     -0.27793845       6.9768991       6.9673821      0.13659344
       7.1012033     -0.27240726     -0.27935146       7.1168232       7.1067298      0.14202690
       7.2404426     -0.27354193     -0.28078312       7.2567698       7.2460774      0.14756082
       7.3796819     -0.27468702     -0.28223285       7.3967391       7.3854250      0.15319475
       7.5189212     -0.27584184     -0.28370007       7.5367317       7.5247727      0.15892823
       7.6581605     -0.27700566     -0.28518419       7.6767478       7.6641203      0.16476080
       7.7973997     -0.27817773     -0.28668459       7.8167879       7.8034680      0.17069198
       7.9366390     -0.27935729     -0.28820065       7.9568523       7.9428156      0.17672128
       8.0758783     -0.28054357     -0.28973173       8.0969413       8.0821633      0.18284818
       8.2151176     -0.28173577     -0.29127717       8.2370555       8.2215109      0.18907218
       8.3543569     -0.28293308     -0.29283633       8.3771951       8.3608585      0.19539275
       8.4935961     -0.28413466     -0.29440850       8.5173604       8.5002062      0.20180934
       8.6328354     -0.28533967     -0.29599301       8.6575519       8.6395538      0.20832141
       8.7720747     -0.28654722     -0.29758913       8.7977698       8.7789015      0.21492838
       8.9113140     -0.28775645     -0.29919615       8.9380146       8.9182491      0.22162968
       9.0505533     -0.28896642     -0.30081333       9.0782865       9.0575968      0.22842472
       9.1897926     -0.29017623     -0.30243992       9.2185860       9.1969444      0.23531287
       9.3290318     -0.29138492     -0.30407514       9.3589133       9.3362920      0.24229353
       9.4682711     -0.29259152     -0.30571821       9.4992687       9.4756397      0.24936606
       9.6075104     -0.29379504     -0.30736833       9.6396526       9.6149873      0.25652980
       9.7467497     -0.29499448     -0.30902469       9.7800654       9.7543350      0.26378410
       9.8859890     -0.29618881     -0.31068646       9.9205072       9.8936826      0.27112827
       10.025228     -0.29737698     -0.31235278       10.060978       10.033030      0.27856161
       10.164468     -0.29855792     -0.31402279       10.201479       10.172378      0.28608342
