Results for:	
File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US004550987_Example01P.zmx
Title:	US 4,550,987 Example 1 (Ricoh smc Pentax-A 200mm F4)
Date:	11/7/2025 5:38:13 PM

0 message(s) in output.
3 series table(s) in output.

Table series: Data for wavelength : 0.486133 µm.
   Y Angle (deg)       Tan Shift       Sag Shift     Real Height     Ref. Height      Distortion
       4.7577907    -0.094736224    -0.099201259       16.327673       16.235876      0.56539765
       4.8203932    -0.094054738    -0.099451102       16.545871       16.450511      0.57967990
       4.8829957    -0.093311563    -0.099680443       16.764194       16.665185      0.59410741
       4.9455982    -0.092505907    -0.099888316       16.982644       16.879900      0.60867814
       5.0082007    -0.091637075     -0.10007374       17.201221       17.094655      0.62338999
       5.0708032    -0.090704481     -0.10023572       17.419927       17.309451      0.63824081
       5.1334057    -0.089707650     -0.10037323       17.638762       17.524289      0.65322837
       5.1960082    -0.088646225     -0.10048527       17.857728       17.739169      0.66835039
       5.2586108    -0.087519983     -0.10057077       18.076826       17.954091      0.68360453
       5.3212133    -0.086328835     -0.10062868       18.296057       18.169057      0.69898836
       5.3838158    -0.085072837     -0.10065794       18.515421       18.384067      0.71449940
       5.4464183    -0.083752206     -0.10065745       18.734920       18.599121      0.73013509
       5.5090208    -0.082367320     -0.10062610       18.954554       18.814220      0.74589280
       5.5716233    -0.080918736     -0.10056279       19.174324       19.029364      0.76176983
       5.6342258    -0.079407196     -0.10046637       19.394231       19.244554      0.77776338
       5.6968283    -0.077833642     -0.10033569       19.614276       19.459790      0.79387058
       5.7594308    -0.076199227     -0.10016958       19.834459       19.675073      0.81008849
       5.8220333    -0.074505325    -0.099966869       20.054781       19.890404      0.82641407
       5.8846358    -0.072753549    -0.099726354       20.275243       20.105783      0.84284419
       5.9472384    -0.070945760    -0.099446820       20.495846       20.321210      0.85937563
       6.0098409    -0.069084086    -0.099127038       20.716589       20.536686      0.87600508
       6.0724434    -0.067170934    -0.098765764       20.937473       20.752212      0.89272913
       6.1350459    -0.065209008    -0.098361735       21.158500       20.967788      0.90954426
       6.1976484    -0.063201325    -0.097913676       21.379668       21.183415      0.92644686
       6.2602509    -0.061151233    -0.097420292       21.600979       21.399093      0.94343321

Table series: Data for wavelength : 0.587562 µm.
   Y Angle (deg)       Tan Shift       Sag Shift     Real Height     Ref. Height      Distortion
  --------------  --------------  --------------  --------------  --------------  --------------
      0.00000000     0.024930449     0.024930449      0.00000000      0.00000000      0.00000000
     0.062602509     0.024906837     0.024919214      0.21302676      0.21302653  1.0597940E-004
      0.12520502     0.024833001     0.024885514      0.42605537      0.42605357  4.2390584E-004
      0.18780753     0.024709006     0.024829366      0.63908772      0.63908162  9.5376175E-004
      0.25041004     0.024534962     0.024750798      0.85212565      0.85211120  1.6955149E-003
      0.31301254     0.024311020     0.024649848       1.0651710       1.0651428  2.6491201E-003
      0.37561505     0.024037378     0.024526566       1.2782257       1.2781770  3.8145193E-003
      0.43821756     0.023714275     0.024381014       1.4912916       1.4912142  5.1916414E-003
      0.50082007     0.023341994     0.024213262       1.7043705       1.7042550  6.7804003E-003
      0.56342258     0.022920865     0.024023396       1.9174643       1.9172998  8.5807025E-003
      0.62602509     0.022451256     0.023811507       2.1305749       2.1303492     0.010592436
      0.68862760     0.021933583     0.023577703       2.3437040       2.3434037     0.012815476
