Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US04666259-1.ZMX
Title:	
Date:	11/7/2025 5:07:28 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in degrees.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.5500
  --------------  --------------  --------------
      0.00000000      0.61920898      0.61920898
      0.16666667      0.62029564      0.62029564
      0.33333333      0.62354212      0.62354212
      0.50000000      0.62890768      0.62890768
      0.66666667      0.63632354      0.63632354
      0.83333333      0.64569195      0.64569195
       1.0000000      0.65688558      0.65688558
       1.1666667      0.66974857      0.66974857
       1.3333333      0.68410185      0.68410185
       1.5000000      0.69975791      0.69975791
       1.6666667      0.71655478      0.71655478
       1.8333333      0.73442841      0.73442841
       2.0000000      0.75356056      0.75356056
       2.1666667      0.77467784      0.77467784
       2.3333333      0.79965899      0.79965899
       2.5000000      0.83278518      0.83278518
