Results for:	
File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\FR1233449_Example01P.zmx
Title:	FR 1.233.449 Example 1 (Leica Summilux 35mm F1.4)
Date:	11/7/2025 5:23:03 PM

0 message(s) in output.
3 series table(s) in output.

Table series: Data for wavelength : 0.486133 µm.
   Y Angle (deg)       Tan Shift       Sag Shift     Real Height     Ref. Height      Distortion
       10.702061    -0.074766034     -0.13100878       6.6432965       6.6424907     0.012131335
       11.016827    -0.077481703     -0.13639644       6.8435780       6.8426871     0.013019546
       11.331594    -0.080269698     -0.14184949       7.0442952       7.0433123     0.013954717
       11.646360    -0.083129321     -0.14735926       7.2454619       7.2443797     0.014938961
       11.961127    -0.086059824     -0.15291674       7.4470924       7.4459029     0.015974502
       12.275893    -0.089060405     -0.15851248       7.6492008       7.6478958     0.017063669
       12.590660    -0.092130201     -0.16413666       7.8518017       7.8503722     0.018208908
       12.905426    -0.095268284     -0.16977900       8.0549095       8.0533461     0.019412783
       13.220193    -0.098473652     -0.17542881       8.2585390       8.2568317     0.020677984
       13.534959     -0.10174522     -0.18107493       8.4627052       8.4608431     0.022007330
       13.849726     -0.10508183     -0.18670570       8.6674230       8.6653949     0.023403779
       14.164492     -0.10848219     -0.19230899       8.8727077       8.8705016     0.024870428
       14.479259     -0.11194494     -0.19787215       9.0785748       9.0761778     0.026410526
       14.794025     -0.11546858     -0.20338195       9.2850400       9.2824384     0.028027477
       15.108792     -0.11905147     -0.20882465       9.4921191       9.4892984     0.029724847
       15.423558     -0.12269183     -0.21418587       9.6998280       9.6967729     0.031506370
       15.738325     -0.12638772     -0.21945063       9.9081832       9.9048774     0.033375972
       16.053091     -0.13013701     -0.22460331       10.117201       10.113627     0.035337754
       16.367858     -0.13393738     -0.22962761       10.326898       10.323038     0.037396017
       16.682624     -0.13778626     -0.23450651       10.537292       10.533126     0.039555268
       16.997391     -0.14168087     -0.23922225       10.748400       10.743906     0.041820232
       17.312157     -0.14561812     -0.24375630       10.960238       10.955396     0.044195861
       17.626924     -0.14959463     -0.24808929       11.172825       11.167612     0.046687344
       17.941690     -0.15360669     -0.25220101       11.386180       11.380569     0.049300123
       18.256457     -0.15765019     -0.25607034       11.600319       11.594286     0.052039898
       18.571223     -0.16172063     -0.25967521       11.815263       11.808778     0.054912660
       18.885990     -0.16581304     -0.26299255       12.031029       12.024064     0.057924682
       19.200756     -0.16992191     -0.26599822       12.247637       12.240160     0.061082545
       19.515523     -0.17404121     -0.26866700       12.465107       12.457085     0.064393160
       19.830289     -0.17816424     -0.27097248       12.683458       12.674857     0.067863777
       20.145056     -0.18228362     -0.27288703       12.902712       12.893493     0.071502010
