file,n_rows
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP1981-075613_Example01P_LensData.csv,17
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP1981-159613_Example01P_LensData.csv,17
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP1982-108817_Example01P_LensData.csv,14
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP1983-014810_Example03P_LensData.csv,18
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP1985-040604_Example01P_LensData.csv,17
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP1985-111215_ExampleMLP_LensData.csv,14
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP1986-090115_Example04P_LensData.csv,15
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP1987-244010_Example01P_LensData.csv,16
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP1987-244010_Example02P_LensData.csv,16
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP1987-249119_Example04P_LensData.csv,22
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP1988-017421_Example03P_LensData.csv,18
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP1988-201614_Example04P_LensData.csv,16
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP1989-031113_Example05P_LensData.csv,13
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP1990-248910_Example01P_LensData.csv,16
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP1994-029897_Example04P_LensData.csv,15
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP1996-110467_Example01P_LensData.csv,19
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP1997-211319_Example01P_LensData.csv,29
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP1997-297263_Example01P_LensData.csv,16
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP1998-206729_Example01P_LensData.csv,19
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP1999-211978_Example01P_LensData.csv,23
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP1999-231209_Example01P_LensData.csv,17
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2000-028919_Example01P_LensData.csv,15
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2000-275517_Example01_Tale24_LensData.csv,32
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2000-292689_Example02P_LensData.csv,14
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2001-033704_Example01P_LensData.csv,27
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2001-174702_Example01_Tale24_LensData.csv,35
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2003-005030_Example06_Tale78_LensData.csv,10
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2003-185916_Example01P_LensData.csv,20
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2004-101880_Example02P_LensData.csv,20
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2005-107261_Example05P_LensData.csv,14
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2008-003108_Example01P_LensData.csv,20
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2008-145584_Example01P_LensData.csv,32
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2011-048232_Example03P_LensData.csv,29
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2011-170128_Example05P_LensData.csv,22
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2011-248340_Example01P_LensData.csv,22
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2012-159613_Example01P_LensData.csv,18
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2012-234169_Example01P_LensData.csv,15
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2012-242690_Example02P_LensData.csv,22
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2013-003324_Example02P_LensData.csv,19
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2013-054269_Example01P_LensData.csv,21
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2013-104994_Example02P_LensData.csv,36
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2013-161076_Example01P_LensData.csv,22
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2013-250290_Example01TCP_LensData.csv,13
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2014-026184_Example04P_LensData.csv,14
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2014-048488_Example03P_LensData.csv,27
