column,total_entries,finite_count,nan_count,posinf_count,neginf_count,non_numeric_original_count,finite_fraction,nan_fraction,posinf_fraction,neginf_fraction,mean_over_finite,std_over_finite,min_over_finite,max_over_finite
Surface,18955,18955,0,0,0,0,1.0,0.0,0.0,0.0,10.089211289897126,7.55671512144352,0.0,51.0
Radius,18955,15009,0,3946,0,0,0.7918227380638354,0.0,0.2081772619361646,0.0,7239458.233416611,875939777.182988,-736290.426872087,107304000000.0
Thickness,18955,16991,0,1964,0,0,0.8963861777895015,0.0,0.10361382221049854,0.0,130819.68004041509,10982065.652579855,-1008.55203991321,999999999.0
SemiDiameter,18955,18109,0,846,0,0,0.9553679767871274,0.0,0.044632023212872594,0.0,12861.682062363132,1168087.5028593668,0.0,144312798.344023
Conic,18955,18938,0,17,0,0,0.9991031390134529,0.0,0.0008968609865470852,0.0,244.4638476791783,33767.461437794336,-76200.0,4645000.0
A2,18955,875,18080,0,0,0,0.04616196254286468,0.9538380374571354,0.0,0.0,2.5138848664506317,33.978472659610496,-0.49794,780.0
A4,18955,860,18095,0,0,0,0.04537061461355843,0.9546293853864416,0.0,0.0,-0.014402708425737003,0.08278110261349324,-0.836316,0.275
A6,18955,860,18095,0,0,0,0.04537061461355843,0.9546293853864416,0.0,0.0,0.01012906724589948,0.2466579526008652,-2.85268219,4.452
A8,18955,860,18095,0,0,0,0.04537061461355843,0.9546293853864416,0.0,0.0,-0.024714752698295133,1.169172574733868,-24.52,12.964123
A10,18955,860,18095,0,0,0,0.04537061461355843,0.9546293853864416,0.0,0.0,0.07262632686366645,2.849321349567115,-16.3510196,70.7
A12,18955,860,18095,0,0,0,0.04537061461355843,0.9546293853864416,0.0,0.0,-0.12914614752331494,3.3972795840872654,-90.18,19.07
A14,18955,860,18095,0,0,0,0.04537061461355843,0.9546293853864416,0.0,0.0,0.008464936953526995,1.5574464576643818,-35.676993,25.0038498
A16,18955,860,18095,0,0,0,0.04537061461355843,0.9546293853864416,0.0,0.0,0.18515358336910376,6.20809557707217,-44.1699943,162.889106
