Material,count
P-LASFH12S,3
KZFSN5,3
"1.50,66.8",3
"1.72,46.0",3
"1.73,40.5",3
E-LAF01,3
"1.79,48.0",3
"1.67,41.6",3
"1.53,56.0",3
E-LF5,3
"1.67,48.1",3
J-SK16,3
796409,3
"1.51,54.7",3
"1.46,65.7",3
E-SK5,3
"1.80,33.9",3
"1.85,32.4",3
E-FK01,3
H-QK3,3
J-LAK8,3
"1.76,47.9",3
E-SK11,3
E-LLF1,3
K-LAKN4,3
J-PKH1,3
748523.0,3
"1.47,65.6",3
"1.63,52.9",3
"1.56,46.9",3
"1.59,59.2",3
"1.67,48.3",3
"1.92,31.6",3
"1.96,32.3",3
"1.59,59.5",3
"1.64,35.4",3
"1.75,27.5",3
"1.53,55.8",3
"1.69,53.4",3
"1.74,31.7",3
"1.90,25.3",3
SSK2,3
K11,3
"1.61,43.8",3
"1.53,55.7",3
"1.68,31.3",3
S-NBH55,3
S-LAM55,3
S-LAL58,3
H-QK3L,3
"1.84,42.7",3
S-BAL3,3
"1.83,43.0",3
"1.85,36.6",3
"1.62,38.0",2
"1.60,38.3",2
"1.66,35.9",2
"1.49,70.0",2
"1.76,47.8",2
-,2
"1.80,45.6",2
LITHOTEC-CAF2,2
J-LLF1,2
M-PCD4,2
H-K9L,2
PCD51,2
FN11,2
"1.76,49.1",2
S-BAL42,2
S-LAM66,2
S-NBH8,2
"1.52,52.0",2
"1.65,33.9",2
J-LASF05,2
S-FPM2,2
E-LASF014,2
"1.67,33.0",2
SF16,2
SF53,2
LF2,2
"1.56,61.2",2
"1.75,51.6",2
"1.67,29.2",2
"1.54,59.5",2
"1.85,0.0",2
"1.92,18.9",2
"1.80,40.4",2
"1.85,23.7",2
"1.51,50.0",2
"2.01,29.1",2
"1.86,40.1",2
"1.55,63.5",2
"1.52,51.4",2
"1.53,55.9",2
"1.58,56.3",2
"1.73,54.1",2
"1.78,43.8",2
"1.67,41.9",2
"1.64,59.9",2
E-LAFH3,2
"1.81,40.8",2
"1.50,56.4",2
"1.54,59.7",2
"1.58,37.1",2
"1.58,59.3",2
"1.77,46.6",2
"1.76,31.7",2
"1.67,46.8",2
"1.73,53.2",2
K-PFK80,2
S-LAH71,2
KZFS4,2
BSM14,2
"1.67,33.1",2
E-LAF9,2
K-SK5,2
748523,2
"1.59,61.3",2
"1.80,46.4",2
TAFD55-W,2
"1.74,27.7",2
"1.72,42.0",2
"1.77,46.2",2
"1.52,58.5",2
"1.74,45.0",2
"1.77,46.5",2
773494,2
804339,2
694537,2
861230,2
NBFD14,2
E-SF13,2
S-BSM81,2
MC-TAF1,2
K-SSK1,2
S-BSM14,2
"1.75,34.7",2
E-FD4,2
M-NBFD13,2
LAFN28,2
FTL8,2
"1.58,30.0",2
"1.83,37.4",2
"1.61,37.2",2
N-LAK21,2
"1.61,60.5",2
"1.55,49.3",2
"1.62,49.5",2
H-ZLAF54,2
"1.69,50.8",2
"1.68,48.2",2
"1.62,38.1",2
"1.62,57.1",2
"1.52,69.6",2
E-F1,2
BAC5,2
LASFN4,2
K-SFLD4,2
E-BAF12,2
E-SF7,2
E-BAK4,2
"1.55,55.0",2
E-SK10,2
P-SK57_MOLD,2
S-TIH4,2
BAFL2,2
LASFN13,2
N-SF6,2
"1.46,69.6",2
"1.90,40.5",2
"1.78,25.9",2
"1.63,35.6",2
S-FPL52,2
"1.68,41.9",2
M-BACD12,2
N-ZK7,2
KZFS7A,2
"1.62,58.6",2
"1.73,51.1",2
FPL51,2
"1.80,28.4",2
"1.79,47.1",2
"1.72,52.1",2
"1.60,64.4",2
FD11,2
NBFD12,2
NBFD11,2
"1.63,35.3",2
"1.55,45.4",2
"1.68,32.2",2
E-FD10,2
J-SF11,2
N-SK4,2
L-LAH87,2
N-LAF35,2
N-BAK2,2
LAFN3,2
LLF7,2
"1.65,56.2",2
"1.79,45.7",2
"1.80,41.0",2
"1.58,46.4",2
"1.62,36.4",2
S-LAM58,2
LAL14,2
"1.59,61.0",2
N-LAK14,2
"1.62,60.5",2
N-BAF10,2
N-LAK22,2
"1.43,95.3",2
"1.79,45.3",2
"1.64,60.1",2
"1.74,52.7",2
"1.93,20.9",2
"1.69,53.1",2
"1.83,37.1",2
"1.52,63.5",2
"1.51,81.6",2
J-LASFH13,2
BACD5,2
J-SF15,2
5013X16,2
"1.61,26.0",2
"1.69,31.0",2
"1.66,57.3",2
"1.63,39.1",2
"1.67,48.4",2
E-ADF10,2
MP-PCD51-70,2
"1.53,56.5",2
LAFN10,2
LF1,2
B270,2
J-F16,2
BAFD7,2
"1.60,65.4",2
N-BALF4,2
"1.67,42.0",2
"1.90,35.7",2
NBFD10,2
BACD14,2
FD15,2
330R,2
BAFD8,2
"1.56,61.1",2
KZFSN4,2
BK1,2
KF5,2
LAC13,2
"1.54,47.4",2
M-TAF31,2
E-K3,2
N-PSK57,2
N-SF14,2
GFK70,2
LASF32,2
H-FK61,2
H-ZF52,2
