Material,count
FD140,1
E-SK18,1
E-LAF02,1
TAC4,1
E-SK15,1
J-SK18,1
H-ZLAF56,1
H-ZLAF50B,1
H-LAF50A,1
P-SK5S,1
H-ZLAF53,1
TAC2,1
M-LAF81,1
"1.70,27.8",1
"1.68,54.8",1
"1.73,28.4",1
"1.86,32.3",1
"1.93,24.0",1
"1.58,53.7",1
"1.90,20.4",1
"1.62,53.2",1
"1.77,53.0",1
"2.00,29.3",1
"1.95,17.9",1
"1.65,53.0",1
"1.66,26.9",1
"1.77,47.2",1
"1.70,31.2",1
"1.63,59.3",1
J-LAK18,1
J-LASFH15,1
"1.51,56.6",1
"1.75,27.6",1
"1.65,21.5",1
"1.67,55.2",1
"1.76,26.0",1
"1.74,51.7",1
S-BSM4,1
K-LAK18,1
OKP4HT,1
N-KF9,1
PBH56,1
S-BAH28,1
L-NBH54,1
J-KF6,1
"1.80,29.9",1
"1.52,64.3",1
"1.51,58.9",1
"1.81,0.0",1
"1.83,0.0",1
"1.57,70.1",1
"1.72,34.6",1
"1.56,71.2",1
"1.76,24.9",1
"1.82,42.7",1
"1.67,31.1",1
"1.52,48.8",1
"1.54,56.0",1
"1.61,58.5",1
"1.67,38.2",1
"1.75,25.0",1
"1.68,31.6",1
"1.69,53.0",1
"1.58,59.0",1
"1.76,51.2",1
"1.58,59.1",1
"1.87,28.7",1
"1.71,53.2",1
"1.80,45.1",1
"2.05,26.9",1
"1.95,0.0",1
"1.73,57.7",1
"1.69,49.2",1
"1.75,54.7",1
"1.53,56.3",1
"1.58,30.2",1
"1.59,68.3",1
