File Name,Tan Shift,Sag Shift,Long_0.4861,Long_0.5876,Long_0.6563,Poly,RMS_0.4861,RMS_0.5876,RMS_0.6563,Rel. Ill,Effective F/#
EP1357414A1_ex1_LensData_3.9_2.88_3.33,-0.011059112,-0.011059112,-0.0363,0.000387,0.0171,0.5064,0.8003,0.3225,0.1574,1.0,3.0205991
EP3029504_Example04P_LensData_14.2_1.4_35,-0.031749188,-0.031749188,-0.031745508,-0.015448716,0.010655459,,,,,1.0,1.5222321
EP3136147_Example01P_LensData_21.6_1.4_50,0.019415043,0.019415043,0.019414353,0.075234608,0.14491615,,,,,1.0,1.50637
FR1066698_Example01P_LensData_21.6_2.8_50,-0.099592328,-0.099592328,-0.099620051,0.0026803801,0.078065878,2.4116536,3.0674963,2.2757053,1.6911096,1.0,2.9358131
FR1233449_Example01P_LensData_21.6_1.4_35,-0.028484287,-0.028484287,-0.028500276,-0.025110746,-0.00091906103,2.7712058,3.3127637,2.8365593,2.0045631,1.0,1.484442
FR1471493_Example01P_LensData_21.6_2.8_35,-0.076414524,-0.076414524,-0.076418365,0.0048691426,0.072003224,,,,,1.0,2.9327913
GB0673358_Example01P_LensData_21.6_2.5_35,-0.01764146,-0.01764146,-0.01764939,0.00077543923,0.043955621,,,,,1.0,2.6517164
GB0720808_Example01P_LensData_21.6_3.5_28,-0.089568928,-0.089568928,-0.089575614,0.0028953896,0.076928254,0.27113627,0.40642344,0.18716056,0.14260276,1.0,3.7177576
GB0978797_Example01P_LensData_21.6_4_20,-0.096518029,-0.096518029,-0.096539998,0.00013577365,0.072550119,0.74712182,0.99221538,0.69628959,0.45305907,1.0,4.1994001
GB1408910_Example02P_LensData_21.6_2.3_135,-0.07644813,-0.07644813,-0.076458849,0.0016270316,0.14423189,1.3623552,1.6025637,0.78930727,1.5416935,1.0,2.4239283
HandbookCamFig01_LensData_21_1.3_55,-0.01686528,-0.01686528,-0.01687,0.00988,0.07644,4.2948,4.809,2.9945,4.8211,1.0,1.290366
HandbookCamFig02_LensData_21_3.2_85,-0.00903863,-0.00903863,-0.009039,0.01828,0.09577,0.3576,0.1299,0.0241,0.6052,1.0,2.619113
HandbookCamFig03_LensData_21_3.2_35,-0.1167996,-0.1167996,-0.1168,0.08416,0.1917,0.9785,1.6339,0.2226,0.3917,1.0,3.337258
HandbookCamFig04_LensData_21_2.8_35,0.0761526,0.0761526,0.07614,0.06467,0.1092,,,,,1.0,2.968142
HandbookCamFig05_LensData_21_3_28,0.05507469,0.05507469,0.05507,0.01507,0.04222,,,,,0.989313,3.022199
HandbookCamFig06_LensData_21_1.4_20,0.17027251,0.17027251,0.1702,0.2499,0.3158,1.5118,0.4538,0.9588,2.3941,1.0,1.433321
HandbookCamFig07_LensData_21_2_24,0.03600815,0.03600815,0.036,0.1198,0.1942,0.6584,0.8131,0.2425,0.7801,1.0,2.152487
HandbookCamFig08_LensData_21_1.4_27,0.03600815,0.03600815,0.036,0.1198,0.1942,0.6655,0.8131,0.2425,0.7801,1.0,2.152487
HandbookCamFig09_LensData_21_1.4_36,0.09526596,0.09526596,0.09526,0.1015,0.164,27.1793,31.2156,26.8727,22.7945,1.0,1.551028
