File Name,Tan Shift,Sag Shift,Long_0.4861,Long_0.5876,Long_0.6563,Poly,RMS_0.4861,RMS_0.5876,RMS_0.6563,Rel. Ill,Effective F/#
CH321571_Example01P_LensData_21.6_5.6_60,0.7423618071449364,0.7423618071449364,0.7423662056700473,0.7439222814031258,0.744714486659227,0.0013518525617208384,0.0018002086149992167,0.0011214967178319075,0.00013443716083928902,1.0,0.04717696423499858
CH346706_Example01P_LensData_21.6_1.9_50,0.7427499043755473,0.7427499043755473,0.7427542881427146,0.7439619897869693,0.7444766374147942,0.00844748356759168,0.010881118241672925,0.0073465995291890395,0.0027494873807054334,1.0,0.011433394985021106
CN104101985_Example01P_LensData_21.6_2_35,0.7428002342494622,0.7428002342494622,0.7428046611280237,0.7439482002395981,0.7444385916045935,,,,,1.0,0.011373474370939156
CN106249387_Example02P_LensData_21.6_1.4_50,0.7425117988062112,0.7425117988062112,0.7425162141892728,0.7437668629639547,0.7442807043436234,,,,,1.0,0.00539435323529938
CN107255857_Example01P_LensData_21.6_1.4_135,0.7428963462844698,0.7428963462844698,0.7429007833508936,0.7439521252886104,0.7445924729998471,,,,,0.9211261430101227,0.008639217166091064
CN107272156_Example01P_LensData_14.3_0.95_35,0.7430733844500539,0.7430733844500539,0.7430777968618557,0.7440313024959258,0.7443783658829785,,,,,1.0,0.0011253106501569975
CN107272157_Example01P_LensData_10.84_0.95_25,0.7427926780462568,0.7427926780462568,0.7427970934065138,0.7439337607281777,0.7443291945294891,,,,,0.9957678557369194,0.001083333969217176
CN110161666_Example02P_LensData_14.2_2.82_65,0.7429173645379696,0.7429173645379696,0.7429218007326218,0.7439397605386956,0.7444146820961234,0.0012983381955963514,0.0012577812223521787,0.0005244649122764166,0.0019218516712724387,1.0,0.020250177884354965
CN110501809_Example01P_LensData_21.6_2.81_85,0.7461837827313136,0.7461837827313136,0.7461882383454626,0.7444798834435709,0.7464804047032944,6.6083696948769685e-06,1.3770466069932348e-05,3.6489039997630807e-06,7.146358122163818e-06,1.0,1.0
CN110596863_Example01P_LensData_21.6_1.4_65,0.7427224506303707,0.7427224506303707,0.7427268750336936,0.7439441555317975,0.7444508425173775,,,,,1.0,0.005413202095872792
