File Name,Tan Shift,Sag Shift,Long_0.4861,Long_0.5876,Long_0.6563,Poly,RMS_0.4861,RMS_0.5876,RMS_0.6563,Rel. Ill,Effective F/#
CH321571_Example01P_LensData_21.6_5.6_60,0.9501645411974534,0.9501645411974534,0.9501645659351844,0.929179553660876,0.9155490714744562,0.0013518525617208,0.0018002086136787,0.0011214967178319,0.0001344371596466,1.0,0.0458377776915484
CH346706_Example01P_LensData_21.6_1.9_50,0.9506612750319724,0.9506612750319724,0.9506612779505922,0.9292291505363306,0.915256660545446,0.0084474835675916,0.0108811182403644,0.007346599529189,0.0027494873795158,1.0,0.0100439710888226
CN110161666_Example02P_LensData_14.2_2.82_65,0.9508756108253428,0.9508756108253428,0.9508756795823048,0.9292013855889624,0.9151804929194656,0.0012983381955963,0.001257781221031,0.0005244649122764,0.0019218516700818,1.0,0.0188731459188426
CN110501809_Example01P_LensData_21.6_2.81_85,0.9550563683961942,0.9550563683961942,0.9550564373462062,0.9298760140697052,0.9177200841974644,6.608371227175921e-06,1.377046695183276e-05,3.648902831317293e-06,7.146354543627256e-06,1.0,1.0
CN206074892_Example01P_LensData_21.6_2_100,0.871391082565597,0.871391082565597,0.8713911901434348,0.8516371002130164,0.8390567891420402,1.0,1.0,1.0,1.0,0.9980604269620698,0.0140404011955181
CN207216120_Example01P_LensData_21.6_2.8_40,0.9510811555987834,0.9510811555987834,0.9510811431454111,0.9299273843925474,0.9160138097173912,0.0023361394012416,0.0030747574047448,0.00078678267525,0.002076806251,1.0,0.0182588605797652
CN210573001_Example01P_LensData_21.6_14_24,0.9544350916305688,0.9544350916305688,0.9544350146675336,0.9293858637207808,0.9181132147131018,0.0006799172530794,0.0008539113661686,8.953399148023464e-05,0.0007517625554894,1.0,0.1295624012020724
CN211955965_Example01P_LensData_14.4_1.4_56,0.9506356326256994,0.9506356326256994,0.9506357138570584,0.9288824539961592,0.9147862374709188,0.0026853669322321,0.0021239696572113,0.0018203051067726,0.0041426576271668,1.0,0.0080612317157786
Cox1-01_LensData_3.9_5.3_27,0.9512139966748054,0.9512139966748054,0.9512140744883394,0.9290770602263132,0.9147527578980232,0.0007385486804764,0.0010991529705505,7.613458447560417e-05,0.0001970347164819,1.0,0.0434601026047483
Cox1-03_LensData_3.57_5.1_25.4,0.951219600207072,0.951219600207072,0.9512196676617676,0.9292714293222027,0.9150086385598012,0.0005024586979654,0.0007551652093633,4.062684476523652e-05,7.395000802804811e-05,1.0,0.0398686343476797
Cox1-04_LensData_3.51_5_25,0.9510010068112416,0.9510010068112416,0.9510010774980172,0.9291868945760632,0.9149793905589478,0.0002252102870946,0.0003351778066008,3.463220862292431e-06,9.559150399039812e-05,1.0,0.0399409726092712
Cox1-05_LensData_3.51_7.6_25,0.950961423184182,0.950961423184182,0.9509614935470416,0.9291905820871912,0.9149926166596418,5.64881140229795e-05,8.276919415473311e-05,4.088823286494138e-07,4.6354713637371145e-05,1.0,0.0667861599049459
Cox1-06_LensData_3.51_3.9_25,0.9509500191143682,0.9509500191143682,0.9509500897701918,0.9292104181678528,0.9150217023327092,0.0003004753559166,0.0004338776249064,1.851630794585424e-05,0.0001828686759623,1.0,0.0299184140410357
DE00753329_Example01P_LensData_21.6_2.8_50,0.9506211331534602,0.9506211331534602,0.9506210774827828,0.9291369606347912,0.915153139210766,0.0099654754439482,0.0093641093454416,0.0108014733121963,0.0099538664214232,1.0,0.0190416714418652
DE00975637_Example01P_LensData_107_8_90,0.9501105575393298,0.9501105575393298,0.9501104706826424,0.9291972582534828,0.9158238613005838,0.0017747391845403,0.0017553148574427,0.0020104212744508,0.0014910736885891,1.0,0.069669198784458
DE01022027_Example01P_LensData_21.6_3.5_100,0.950304632197302,0.950304632197302,0.950304688828316,0.9297726862777612,0.916310550765314,0.0021161624615868,0.0020732368707992,0.0004877222634574,0.0031963097082746,1.0,0.0247565764873292
DE01045120_Example01P_LensData_21.6_1.4_50,0.9506650600644168,0.9506650600644168,0.9506650733860912,0.929192249087195,0.9151821739828568,0.0089622977078784,0.0110872255729127,0.0075221770977084,0.0057123273250167,1.0,0.0038811195702905
DE01096057_Example01P_LensData_21.6_4_200,0.9522673742270228,0.9522673742270228,0.9522674159313405,0.9310820565742468,0.917823012118998,0.0087818899369721,0.0073288654674572,0.0079928950433138,0.0117034093621398,1.0,0.0296583965848255
DE01157000_Example01P_LensData_35_4_50,0.9492190509439002,0.9492190509439002,0.9492190286037718,0.9291753253080838,0.9158513702393236,0.006101916436559,0.0082986082585256,0.0043616970018175,0.0015979360827654,1.0,0.0298556431162978
DE01250153_Example02P_LensData_21.63_2.8_25,0.9508011910780302,0.9508011910780302,0.9508012025326408,0.9291783416912852,0.915140139936348,0.0016546750829563,0.001742902850637,0.0016962399579189,0.0014412246151355,1.0,0.0177649534639587
DE02205380_Example03P_LensData_21.6_3.5_28,0.9507589031700512,0.9507589031700512,0.9507589282887994,0.9291773587161448,0.9151505551061184,0.0029525470561659,0.0025443427467407,0.0035129163653501,0.0028951084587741,1.0,0.0247808510398803
DE02206106_Example01P_LensData_21.6_11_1000,0.955719273293351,0.955719273293351,0.955719573525348,0.9291680392696798,0.9187867383221804,0.0038697610844417,0.0047321598279868,0.0020456874645501,0.003888874605083,1.0,0.0995066770692773
DE02246966_Example01P_LensData_21.6_4_90,0.950323236951864,0.950323236951864,0.950323258491198,0.929185729747278,0.9155550797032652,0.0030880502955272,0.0037395417624789,0.0030933700250186,0.0012181688897471,1.0,0.0298791653524481
DE02729831_Example01P_LensData_70.5_5.6_100,0.9505845287354822,0.9505845287354822,0.9505844838675084,0.9292018635145864,0.9154960853722064,0.0018421028261264,0.002348265545388,0.001691213622807,0.0005110415569796,1.0,0.0459076234301153
DE03026282_Example01P_LensData_77.5_8_90,0.9499366345046923,0.9499366345046923,0.9499366155361872,0.9292079700262206,0.9156774807713488,0.0021161696123153,0.0027236344229369,0.0017342627771873,0.0010157371547031,1.0,0.0697622751415805
EP1357414A1_ex1_LensData_3.9_2.88_3.33,0.9508203750256152,0.9508203750256152,0.9506831147326652,0.929188843204904,0.9150199636449822,0.0025746674246146,0.0035182322360603,0.0017124760963625,0.0009290184504777,1.0,0.0187354720175107
FR1066698_Example01P_LensData_21.6_2.8_50,0.9503386850843196,0.9503386850843196,0.950338604104124,0.929200980842276,0.9153369748565086,0.012306061071089,0.0135152324405026,0.0120861783936022,0.0100764333800093,1.0,0.0179300945130724
FR1233449_Example01P_LensData_21.6_1.4_35,0.9507255684445144,0.9507255684445144,0.9507255513348988,0.929053897232257,0.9149262678835896,0.0141425326015225,0.0145967172011927,0.0150649397292467,0.0119459458520014,1.0,0.004143601052692
GB0720808_Example01P_LensData_21.6_3.5_28,0.950393220220122,0.950393220220122,0.9503932537016772,0.9292021187755496,0.9153310594235756,0.0013730195351326,0.0017814686171161,0.0009936724664342,0.0008407641329121,1.0,0.0253577418843274
GB0978797_Example01P_LensData_21.6_4_20,0.9503554116754428,0.9503554116754428,0.9503553620027392,0.9291875135996548,0.9153082939369444,0.0038041933993802,0.004364466015242,0.003697716423361,0.0026924006389764,1.0,0.0299328372382939
GB1408910_Example02P_LensData_21.6_2.3_135,0.9504646076236744,0.9504646076236744,0.9504646191678008,0.9291954060330204,0.91568102579638,0.0069465982767314,0.0070557425843776,0.004191744225098,0.0091852796284436,1.0,0.0130677292312585
HandbookCamFig01_LensData_21_1.3_55,0.9507887849304008,0.9507887849304008,0.9507888291376104,0.929239084591666,0.9153285205937064,0.0219245385862824,0.0211942379350586,0.0159037813002877,0.0287444530065739,1.0,0.0023000839089258
HandbookCamFig02_LensData_21_3.2_85,0.9508313680280152,0.9508313680280152,0.9508314359057588,0.929283541312281,0.9154290329937544,0.0018146471445871,0.0005621631312113,0.0001276387187984,0.0035998059355689,1.0,0.0149217778547403
HandbookCamFig03_LensData_21_3.2_35,0.9502450640659718,0.9502450640659718,0.9502451317373958,0.9296322090211048,0.915927851128084,0.0049859952082233,0.0071939172089156,0.0011818954863804,0.0023264403079071,1.0,0.0217433973193313
HandbookCamFig06_LensData_21_1.4_20,0.9518069608778243,0.9518069608778243,0.951806636329226,0.9305093824585742,0.9165731480161308,0.0077099119779724,0.0019903713398339,0.0050919399815637,0.0142692381197575,1.0,0.0036580055132823
HandbookCamFig07_LensData_21_2_24,0.9510764577445544,0.9510764577445544,0.9510764833110252,0.9298208325357143,0.9159408506624928,0.0033510322267932,0.0035746726962961,0.0012875867189995,0.004642951829143,1.0,0.0104893234001604
HandbookCamFig08_LensData_21_1.4_27,0.9510764577445544,0.9510764577445544,0.9510764833110252,0.9298208325357143,0.9159408506624928,0.003387296635316,0.0035746726962961,0.0012875867189995,0.004642951829143,1.0,0.0104893234001604
HandbookCamFig09_LensData_21_1.4_36,0.9513988665794508,0.9513988665794508,0.951398904084934,0.9297239803943744,0.915783816286836,0.1388108564511296,0.1376317892836672,0.1427237004321619,0.135942156857709,1.0,0.0047760977680757
HandbookCamFig12_LensData_21_2.9_200,0.9509405076151846,0.9509405076151846,0.950940572562928,0.9294607860234,0.915749497515997,0.0024776218243422,0.0010295606925388,0.000933335200623,0.0047097513374793,1.0,0.018317783482105
