Results for:	
File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US004437734_Example01_Tale69.zmx
Title:	Nikon Medical-Nikkor 120mm f/4 IF (US 4,437,734 Example 1)
Date:	11/7/2025 5:37:53 PM

0 message(s) in output.
3 series table(s) in output.

Table series: Data for wavelength : 0.486133 µm.
   Y Angle (deg)       Tan Shift       Sag Shift     Real Height     Ref. Height      Distortion
      0.74116891     -0.60599907     -0.62652320       4.3460324       4.3438865     0.049398666
      0.77646267     -0.60366127     -0.62602517       4.5532281       4.5507630     0.054169235
      0.81175643     -0.60124218     -0.62549999       4.7604570       4.7576430     0.059148220
      0.84705018     -0.59874566     -0.62494715       4.9677204       4.9645265     0.064333737
      0.88234394     -0.59617576     -0.62436606       5.1750196       5.1714139     0.069723804
      0.91763770     -0.59353675     -0.62375613       5.3823558       5.3783051     0.075316346
      0.95293146     -0.59083307     -0.62311676       5.5897306       5.5852004     0.081109189
      0.98822522     -0.58806938     -0.62244730       5.7971449       5.7921000     0.087100057
       1.0235190     -0.58525057     -0.62174709       6.0046003       5.9990040     0.093286577
       1.0588127     -0.58238171     -0.62101545       6.2120977       6.2059125     0.099666270
       1.0941065     -0.57946812     -0.62025165       6.4196385       6.4128257      0.10623655
       1.1294002     -0.57651530     -0.61945496       6.6272238       6.6197438      0.11299474
       1.1646940     -0.57352902     -0.61862463       6.8348547       6.8266670      0.11993802
       1.1999878     -0.57051525     -0.61775986       7.0425324       7.0335953      0.12706350
       1.2352815     -0.56748021     -0.61685986       7.2502579       7.2405289      0.13436815
       1.2705753     -0.56443036     -0.61592378       7.4580322       7.4474681      0.14184882
       1.3058690     -0.56137239     -0.61495077       7.6658564       7.6544129      0.14950228
       1.3411628     -0.55831325     -0.61393994       7.8737314       7.8613635      0.15732512
       1.3764566     -0.55526016     -0.61289040       8.0816582       8.0683201      0.16531387
       1.4117503     -0.55222057     -0.61180120       8.2896375       8.2752828      0.17346488
       1.4470441     -0.54920223     -0.61067141       8.4976704       8.4822518      0.18177442
       1.4823378     -0.54621313     -0.60950003       8.7057575       8.6892272      0.19023858
       1.5176316     -0.54326157     -0.60828607       8.9138997       8.8962093      0.19885334
       1.5529253     -0.54035611     -0.60702850       9.1220976       9.1031981      0.20761456
       1.5882191     -0.53750561     -0.60572627       9.3303520       9.3101938      0.21651793
       1.6235129     -0.53471924     -0.60437831       9.5386635       9.5171966      0.22555900
       1.6588066     -0.53200646     -0.60298352       9.7470325       9.7242066      0.23473318
       1.6941004     -0.52937704     -0.60154078       9.9554597       9.9312240      0.24403572
       1.7293941     -0.52684110     -0.60004896       10.163945       10.138249      0.25346173
       1.7646879     -0.52440904     -0.59850687       10.372490       10.345282      0.26300615
       1.7999816     -0.52209162     -0.59691333       10.581094       10.552322      0.27266375
       1.8352754     -0.51989995     -0.59526713       10.789758       10.759371      0.28242914
       1.8705692     -0.51784548     -0.59356704       10.998482       10.966427      0.29229676
       1.9058629     -0.51594002     -0.59181179       11.207265       11.173492      0.30226086
