Y Height,Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
5.8800000,-0.13876198,-0.10642548,5.8906308,5.8834739,0.12164434,0.486133 µm.
6.0900000,-0.14226127,-0.10779681,6.1015472,6.0935980,0.13045186,0.486133 µm.
6.0900000,-0.14226127,-0.10779681,6.1015472,6.0935980,0.13045186,0.486133 µm.
6.3000000,-0.14583642,-0.10920148,6.3125197,6.3037221,0.13956298,0.486133 µm.
6.3000000,-0.14583642,-0.10920148,6.3125197,6.3037221,0.13956298,0.486133 µm.
6.5100000,-0.14948238,-0.11063790,6.5235503,6.5138461,0.14897708,0.486133 µm.
6.5100000,-0.14948238,-0.11063790,6.5235503,6.5138461,0.14897708,0.486133 µm.
6.7200000,-0.15319395,-0.11210444,6.7346407,6.7239702,0.15869353,0.486133 µm.
6.7200000,-0.15319395,-0.11210444,6.7346407,6.7239702,0.15869353,0.486133 µm.
6.9300000,-0.15696570,-0.11359939,6.9457929,6.9340943,0.16871165,0.486133 µm.
6.9300000,-0.15696570,-0.11359939,6.9457929,6.9340943,0.16871165,0.486133 µm.
7.1400000,-0.16079200,-0.11512100,7.1570087,7.1442183,0.17903075,0.486133 µm.
7.1400000,-0.16079200,-0.11512100,7.1570087,7.1442183,0.17903075,0.486133 µm.
7.3500000,-0.16466701,-0.11666743,7.3682899,7.3543424,0.18965008,0.486133 µm.
7.3500000,-0.16466701,-0.11666743,7.3682899,7.3543424,0.18965008,0.486133 µm.
7.5600000,-0.16858468,-0.11823678,7.5796385,7.5644665,0.20056889,0.486133 µm.
7.5600000,-0.16858468,-0.11823678,7.5796385,7.5644665,0.20056889,0.486133 µm.
7.7700000,-0.17253875,-0.11982709,7.7910561,7.7745906,0.21178638,0.486133 µm.
7.7700000,-0.17253875,-0.11982709,7.7910561,7.7745906,0.21178638,0.486133 µm.
7.9800000,-0.17652270,-0.12143634,8.0025446,7.9847146,0.22330170,0.486133 µm.
7.9800000,-0.17652270,-0.12143634,8.0025446,7.9847146,0.22330170,0.486133 µm.
8.1900000,-0.18052984,-0.12306243,8.2141059,8.1948387,0.23511399,0.486133 µm.
8.1900000,-0.18052984,-0.12306243,8.2141059,8.1948387,0.23511399,0.486133 µm.
8.4000000,-0.18455321,-0.12470318,8.4257417,8.4049628,0.24722233,0.486133 µm.
8.4000000,-0.18455321,-0.12470318,8.4257417,8.4049628,0.24722233,0.486133 µm.
8.6100000,-0.18858563,-0.12635636,8.6374538,8.6150868,0.25962578,0.486133 µm.
8.6100000,-0.18858563,-0.12635636,8.6374538,8.6150868,0.25962578,0.486133 µm.
8.8200000,-0.19261967,-0.12801966,8.8492440,8.8252109,0.27232335,0.486133 µm.
8.8200000,-0.19261967,-0.12801966,8.8492440,8.8252109,0.27232335,0.486133 µm.
9.0300000,-0.19664768,-0.12969068,9.0611140,9.0353350,0.28531401,0.486133 µm.
9.0300000,-0.19664768,-0.12969068,9.0611140,9.0353350,0.28531401,0.486133 µm.
9.2400000,-0.20066173,-0.13136698,9.2730657,9.2454590,0.29859668,0.486133 µm.
9.2400000,-0.20066173,-0.13136698,9.2730657,9.2454590,0.29859668,0.486133 µm.
9.4500000,-0.20465367,-0.13304601,9.4851006,9.4555831,0.31217025,0.486133 µm.
9.4500000,-0.20465367,-0.13304601,9.4851006,9.4555831,0.31217025,0.486133 µm.
9.6600000,-0.20861507,-0.13472515,9.6972206,9.6657072,0.32603355,0.486133 µm.
9.6600000,-0.20861507,-0.13472515,9.6972206,9.6657072,0.32603355,0.486133 µm.
9.8700000,-0.21253723,-0.13640171,9.9094274,9.8758312,0.34018537,0.486133 µm.
9.8700000,-0.21253723,-0.13640171,9.9094274,9.8758312,0.34018537,0.486133 µm.
10.080000,-0.21641119,-0.13807291,10.121723,10.085955,0.35462445,0.486133 µm.
10.080000,-0.21641119,-0.13807291,10.121723,10.085955,0.35462445,0.486133 µm.
10.290000,-0.22022772,-0.13973590,10.334108,10.296079,0.36934947,0.486133 µm.
10.290000,-0.22022772,-0.13973590,10.334108,10.296079,0.36934947,0.486133 µm.
10.500000,-0.22397730,-0.14138772,10.546585,10.506203,0.38435908,0.486133 µm.
10.500000,-0.22397730,-0.14138772,10.546585,10.506203,0.38435908,0.486133 µm.
10.710000,-0.22765012,-0.14302535,10.759156,10.716328,0.39965185,0.486133 µm.
10.710000,-0.22765012,-0.14302535,10.759156,10.716328,0.39965185,0.486133 µm.
10.920000,-0.23123606,-0.14464567,10.971821,10.926452,0.41522631,0.486133 µm.
10.920000,-0.23123606,-0.14464567,10.971821,10.926452,0.41522631,0.486133 µm.
11.130000,-0.23472474,-0.14624547,11.184583,11.136576,0.43108092,0.486133 µm.
11.130000,-0.23472474,-0.14624547,11.184583,11.136576,0.43108092,0.486133 µm.
11.340000,-0.23810542,-0.14782145,11.397444,11.346700,0.44721409,0.486133 µm.
11.340000,-0.23810542,-0.14782145,11.397444,11.346700,0.44721409,0.486133 µm.
11.550000,-0.24136708,-0.14937021,11.610404,11.556824,0.46362415,0.486133 µm.
11.550000,-0.24136708,-0.14937021,11.610404,11.556824,0.46362415,0.486133 µm.
11.760000,-0.24449835,-0.15088826,11.823466,11.766948,0.48030939,0.486133 µm.
11.760000,-0.24449835,-0.15088826,11.823466,11.766948,0.48030939,0.486133 µm.
11.970000,-0.24748756,-0.15237200,12.036630,11.977072,0.49726801,0.486133 µm.
11.970000,-0.24748756,-0.15237200,12.036630,11.977072,0.49726801,0.486133 µm.
12.180000,-0.25032266,-0.15381776,12.249899,12.187196,0.51449816,0.486133 µm.
12.180000,-0.25032266,-0.15381776,12.249899,12.187196,0.51449816,0.486133 µm.
12.390000,-0.25299128,-0.15522173,12.463274,12.397320,0.53199790,0.486133 µm.
12.390000,-0.25299128,-0.15522173,12.463274,12.397320,0.53199790,0.486133 µm.
12.600000,-0.25548069,-0.15658001,12.676755,12.607444,0.54976522,0.486133 µm.
12.600000,-0.25548069,-0.15658001,12.676755,12.607444,0.54976522,0.486133 µm.
12.810000,-0.25777777,-0.15788859,12.890346,12.817568,0.56779804,0.486133 µm.
12.810000,-0.25777777,-0.15788859,12.890346,12.817568,0.56779804,0.486133 µm.
13.020000,-0.25986904,-0.15914336,13.104047,13.027692,0.58609420,0.486133 µm.
13.020000,-0.25986904,-0.15914336,13.104047,13.027692,0.58609420,0.486133 µm.
