Y Height,Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,0.74378977,0.74378977,0.00000000,0.00000000,0.00000000,0.550000 µm.
0.00000000,0.74378977,0.74378977,0.00000000,0.00000000,0.00000000,0.550000 µm.
0.24000000,0.74368438,0.74361658,0.23816324,0.23816316,3.0737933E-005,0.550000 µm.
0.24000000,0.74368438,0.74361658,0.23816324,0.23816316,3.0737933E-005,0.550000 µm.
0.48000000,0.74337874,0.74309706,0.47632691,0.47632632,1.2256537E-004,0.550000 µm.
0.48000000,0.74337874,0.74309706,0.47632691,0.47632632,1.2256537E-004,0.550000 µm.
0.72000000,0.74287318,0.74223131,0.71449145,0.71448949,2.7556619E-004,0.550000 µm.
0.72000000,0.74287318,0.74223131,0.71449145,0.71448949,2.7556619E-004,0.550000 µm.
0.96000000,0.74216821,0.74101950,0.95265731,0.95265265,4.8953478E-004,0.550000 µm.
0.96000000,0.74216821,0.74101950,0.95265731,0.95265265,4.8953478E-004,0.550000 µm.
1.2000000,0.74126459,0.73946190,1.1908249,1.1908158,7.6430605E-004,0.550000 µm.
1.2000000,0.74126459,0.73946190,1.1908249,1.1908158,7.6430605E-004,0.550000 µm.
1.4400000,0.74016325,0.73755882,1.4289947,1.4289790,1.0996910E-003,0.550000 µm.
1.4400000,0.74016325,0.73755882,1.4289947,1.4289790,1.0996910E-003,0.550000 µm.
1.6800000,0.73886535,0.73531066,1.6671671,1.6671421,1.4953281E-003,0.550000 µm.
1.6800000,0.73886535,0.73531066,1.6671671,1.6671421,1.4953281E-003,0.550000 µm.
1.9200000,0.73737225,0.73271787,1.9053425,1.9053053,1.9509101E-003,0.550000 µm.
1.9200000,0.73737225,0.73271787,1.9053425,1.9053053,1.9509101E-003,0.550000 µm.
2.1600000,0.73568549,0.72978100,2.1435213,2.1434685,2.4659742E-003,0.550000 µm.
2.1600000,0.73568549,0.72978100,2.1435213,2.1434685,2.4659742E-003,0.550000 µm.
2.4000000,0.73380683,0.72650066,2.3817040,2.3816316,3.0401008E-003,0.550000 µm.
2.4000000,0.73380683,0.72650066,2.3817040,2.3816316,3.0401008E-003,0.550000 µm.
2.6400000,0.73173823,0.72287751,2.6198910,2.6197948,3.6727447E-003,0.550000 µm.
2.6400000,0.73173823,0.72287751,2.6198910,2.6197948,3.6727447E-003,0.550000 µm.
2.8800000,0.72948183,0.71891232,2.8580826,2.8579579,4.3633045E-003,0.550000 µm.
2.8800000,0.72948183,0.71891232,2.8580826,2.8579579,4.3633045E-003,0.550000 µm.
3.1200000,0.72703998,0.71460589,3.0962794,3.0961211,5.1111746E-003,0.550000 µm.
3.1200000,0.72703998,0.71460589,3.0962794,3.0961211,5.1111746E-003,0.550000 µm.
3.3600000,0.72441520,0.70995912,3.3344815,3.3342843,5.9156381E-003,0.550000 µm.
3.3600000,0.72441520,0.70995912,3.3344815,3.3342843,5.9156381E-003,0.550000 µm.
3.6000000,0.72161020,0.70497296,3.5726895,3.5724474,6.7759203E-003,0.550000 µm.
3.6000000,0.72161020,0.70497296,3.5726895,3.5724474,6.7759203E-003,0.550000 µm.
3.8400000,0.71862789,0.69964846,3.8109037,3.8106106,7.6912236E-003,0.550000 µm.
3.8400000,0.71862789,0.69964846,3.8109037,3.8106106,7.6912236E-003,0.550000 µm.
4.0800000,0.71547134,0.69398670,4.0491244,4.0487738,8.6606332E-003,0.550000 µm.
4.0800000,0.71547134,0.69398670,4.0491244,4.0487738,8.6606332E-003,0.550000 µm.
4.3200000,0.71214379,0.68798886,4.2873520,4.2869369,9.6832302E-003,0.550000 µm.
4.3200000,0.71214379,0.68798886,4.2873520,4.2869369,9.6832302E-003,0.550000 µm.
4.5600000,0.70864866,0.68165618,4.5255869,4.5251001,0.010757984,0.550000 µm.
4.5600000,0.70864866,0.68165618,4.5255869,4.5251001,0.010757984,0.550000 µm.
4.8000000,0.70498952,0.67498996,4.7638293,4.7632632,0.011883810,0.550000 µm.
