Y Angle (deg),Tan Shift,Sag Shift,Real Cosine,Ref. Cosine,Distortion,Wavelength
12.540476,-7.2101605,-6.9211639,0.22286124,0.22070095,0.97883416,0.486133 µm.
12.705482,-7.2183845,-6.9208147,0.22595560,0.22370170,1.0075502,0.486133 µm.
12.705482,-7.2183845,-6.9208147,0.22595560,0.22370170,1.0075502,0.486133 µm.
12.870488,-7.2267831,-6.9204656,0.22905686,0.22670635,1.0368102,0.486133 µm.
12.870488,-7.2267831,-6.9204656,0.22905686,0.22670635,1.0368102,0.486133 µm.
13.035494,-7.2353604,-6.9201170,0.23216515,0.22971495,1.0666230,0.486133 µm.
13.035494,-7.2353604,-6.9201170,0.23216515,0.22971495,1.0666230,0.486133 µm.
13.200501,-7.2441208,-6.9197693,0.23528059,0.23272757,1.0969974,0.486133 µm.
13.200501,-7.2441208,-6.9197693,0.23528059,0.23272757,1.0969974,0.486133 µm.
13.365507,-7.2530686,-6.9194227,0.23840333,0.23574427,1.1279425,0.486133 µm.
13.365507,-7.2530686,-6.9194227,0.23840333,0.23574427,1.1279425,0.486133 µm.
13.530513,-7.2622088,-6.9190777,0.24153350,0.23876509,1.1594678,0.486133 µm.
13.530513,-7.2622088,-6.9190777,0.24153350,0.23876509,1.1594678,0.486133 µm.
13.695519,-7.2715460,-6.9187345,0.24467124,0.24179011,1.1915831,0.486133 µm.
13.695519,-7.2715460,-6.9187345,0.24467124,0.24179011,1.1915831,0.486133 µm.
13.860526,-7.2810857,-6.9183937,0.24781669,0.24481937,1.2242986,0.486133 µm.
13.860526,-7.2810857,-6.9183937,0.24781669,0.24481937,1.2242986,0.486133 µm.
14.025532,-7.2908330,-6.9180557,0.25097000,0.24785294,1.2576247,0.486133 µm.
14.025532,-7.2908330,-6.9180557,0.25097000,0.24785294,1.2576247,0.486133 µm.
14.190538,-7.3007937,-6.9177209,0.25413132,0.25089088,1.2915721,0.486133 µm.
14.190538,-7.3007937,-6.9177209,0.25413132,0.25089088,1.2915721,0.486133 µm.
14.355544,-7.3109737,-6.9173897,0.25730079,0.25393325,1.3261521,0.486133 µm.
14.355544,-7.3109737,-6.9173897,0.25730079,0.25393325,1.3261521,0.486133 µm.
14.520551,-7.3213791,-6.9170626,0.26047857,0.25698010,1.3613761,0.486133 µm.
14.520551,-7.3213791,-6.9170626,0.26047857,0.25698010,1.3613761,0.486133 µm.
14.685557,-7.3320165,-6.9167403,0.26366481,0.26003151,1.3972562,0.486133 µm.
14.685557,-7.3320165,-6.9167403,0.26366481,0.26003151,1.3972562,0.486133 µm.
14.850563,-7.3428925,-6.9164231,0.26685968,0.26308752,1.4338047,0.486133 µm.
14.850563,-7.3428925,-6.9164231,0.26685968,0.26308752,1.4338047,0.486133 µm.
15.015569,-7.3540143,-6.9161117,0.27006334,0.26614821,1.4710344,0.486133 µm.
15.015569,-7.3540143,-6.9161117,0.27006334,0.26614821,1.4710344,0.486133 µm.
15.180576,-7.3653894,-6.9158067,0.27327595,0.26921362,1.5089585,0.486133 µm.
15.180576,-7.3653894,-6.9158067,0.27327595,0.26921362,1.5089585,0.486133 µm.
15.345582,-7.3770255,-6.9155087,0.27649767,0.27228384,1.5475907,0.486133 µm.
