Results for:	Listing of Longitudinal Aberration Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US07558005-1.ZMX
Title:	U.S. Patent 7,558,005
Date:	11/7/2025 3:57:12 PM

0 message(s) in output.
1 series table(s) in output.

Table series: Units are Millimeters.
      Rel. Pupil          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------
      0.00000000 -3.4452924E-003     0.020343617     0.034362278
     0.010000000 -3.4432950E-003     0.020344535     0.034362857
     0.020000000 -3.4353290E-003     0.020348181     0.034365148
     0.030000000 -3.4221360E-003     0.020354173     0.034368881
     0.040000000 -3.4038409E-003     0.020362383     0.034373928
     0.050000000 -3.3806170E-003     0.020372633     0.034380108
     0.060000000 -3.3526855E-003     0.020384697     0.034387195
     0.070000000 -3.3203128E-003     0.020398303     0.034394914
     0.080000000 -3.2838096E-003     0.020413133     0.034402945
     0.090000000 -3.2435278E-003     0.020428825     0.034410924
      0.10000000 -3.1998584E-003     0.020444981     0.034418448
      0.11000000 -3.1532282E-003     0.020461161     0.034425076
      0.12000000 -3.1040968E-003     0.020476895     0.034430332
      0.13000000 -3.0529530E-003     0.020491679     0.034433710
      0.14000000 -3.0003110E-003     0.020504987     0.034434677
      0.15000000 -2.9467062E-003     0.020516266     0.034432677
      0.16000000 -2.8926913E-003     0.020524948     0.034427135
      0.17000000 -2.8388315E-003     0.020530448     0.034417461
      0.18000000 -2.7856998E-003     0.020532174     0.034403057
      0.19000000 -2.7338724E-003     0.020529529     0.034383320
      0.20000000 -2.6839235E-003     0.020521917     0.034357646
      0.21000000 -2.6364204E-003     0.020508747     0.034325436
      0.22000000 -2.5919180E-003     0.020489439     0.034286103
      0.23000000 -2.5509538E-003     0.020463429     0.034239076
      0.24000000 -2.5140426E-003     0.020430174     0.034183801
      0.25000000 -2.4816711E-003     0.020389159     0.034119754
      0.26000000 -2.4542928E-003     0.020339899     0.034046441
      0.27000000 -2.4323228E-003     0.020281945     0.033963404
      0.28000000 -2.4161324E-003     0.020214894     0.033870226
      0.29000000 -2.4060445E-003     0.020138385     0.033766537
      0.30000000 -2.4023289E-003     0.020052111     0.033652018
      0.31000000 -2.4051974E-003     0.019955821     0.033526405
      0.32000000 -2.4147994E-003     0.019849324     0.033389495
      0.33000000 -2.4312184E-003     0.019732494     0.033241148
      0.34000000 -2.4544677E-003     0.019605272     0.033081289
      0.35000000 -2.4844872E-003     0.019467670     0.032909919
      0.36000000 -2.5211406E-003     0.019319776     0.032727107
      0.37000000 -2.5642127E-003     0.019161753     0.032533001
      0.38000000 -2.6134074E-003     0.018993844     0.032327828
      0.39000000 -2.6683464E-003     0.018816371     0.032111891
      0.40000000 -2.7285677E-003     0.018629737     0.031885576
      0.41000000 -2.7935261E-003     0.018434427     0.031649348
      0.42000000 -2.8625929E-003     0.018231006     0.031403753
      0.43000000 -2.9350572E-003     0.018020119     0.031149414
      0.44000000 -3.0101280E-003     0.017802489     0.030887032
      0.45000000 -3.0869362E-003     0.017578913     0.030617384
      0.46000000 -3.1645387E-003     0.017350261     0.030341314
      0.47000000 -3.2419225E-003     0.017117469     0.030059735
      0.48000000 -3.3180101E-003     0.016881535     0.029773619
      0.49000000 -3.3916655E-003     0.016643512     0.029483993
      0.50000000 -3.4617023E-003     0.016404502     0.029191931
      0.51000000 -3.5268914E-003     0.016165644     0.028898546
      0.52000000 -3.5859708E-003     0.015928109     0.028604978
      0.53000000 -3.6376565E-003     0.015693088     0.028312387
      0.54000000 -3.6806545E-003     0.015461777     0.028021938
      0.55000000 -3.7136737E-003     0.015235366     0.027734789
      0.56000000 -3.7354408E-003     0.015015025     0.027452077
      0.57000000 -3.7447158E-003     0.014801889     0.027174900
      0.58000000 -3.7403096E-003     0.014597038     0.026904305
      0.59000000 -3.7211021E-003     0.014401480     0.026641261
      0.60000000 -3.6860629E-003     0.014216131     0.026386649
      0.61000000 -3.6342721E-003     0.014041796     0.026141232
      0.62000000 -3.5649437E-003     0.013879141     0.025905640
      0.63000000 -3.4774496E-003     0.013728674     0.025680338
      0.64000000 -3.3713456E-003     0.013590718     0.025465607
      0.65000000 -3.2463985E-003     0.013465382     0.025261517
      0.66000000 -3.1026148E-003     0.013352536     0.025067894
      0.67000000 -2.9402704E-003     0.013251779     0.024884294
      0.68000000 -2.7599420E-003     0.013162411     0.024709974
      0.69000000 -2.5625396E-003     0.013083397     0.024543855
      0.70000000 -2.3493399E-003     0.013013339     0.024384496
      0.71000000 -2.1220204E-003     0.012950438     0.024230056
      0.72000000 -1.8826955E-003     0.012892463     0.024078260
      0.73000000 -1.6339516E-003     0.012836714     0.023926366
      0.74000000 -1.3788840E-003     0.012779985     0.023771130
      0.75000000 -1.1211331E-003     0.012718534     0.023608767
      0.76000000 -8.6492045E-004     0.012648041     0.023434921
      0.77000000 -6.1508524E-004     0.012563579     0.023244630
      0.78000000 -3.7711857E-004     0.012459578     0.023032291
      0.79000000 -1.5719717E-004     0.012329791     0.022791627
      0.80000000  3.7785057E-005     0.012167268     0.022515662
      0.81000000  2.0018792E-004     0.011964326     0.022196690
      0.82000000  3.2159912E-004     0.011712523     0.021826253
      0.83000000  3.9281231E-004     0.011402643     0.021395121
      0.84000000  4.0381001E-004     0.011024673     0.020893276
      0.85000000  3.4375231E-004     0.010567801     0.020309904
      0.86000000  2.0097232E-004     0.010020407     0.019633392
      0.87000000 -3.7020250E-005  9.3700711E-003     0.018851335
      0.88000000 -3.8352623E-004  8.6035869E-003     0.017950548
      0.89000000 -8.5263342E-004  7.7069862E-003     0.016917095
      0.90000000 -1.4591806E-003  6.6655760E-003     0.015736323
      0.91000000 -2.2187078E-003  5.4639891E-003     0.014392913
      0.92000000 -3.1473897E-003  4.0862504E-003     0.012870953
      0.93000000 -4.2619526E-003  2.5158608E-003     0.011154011
      0.94000000 -5.5795693E-003  7.3590063E-004  9.2252511E-003
      0.95000000 -7.1177329E-003 -1.2708444E-003  7.0675490E-003
      0.96000000 -8.8941038E-003 -3.5217329E-003  4.6636483E-003
      0.97000000    -0.010926330 -6.0340902E-003  1.9963359E-003
      0.98000000    -0.013231832 -8.8249992E-003 -9.5135003E-004
      0.99000000    -0.015827560    -0.011911058 -4.1958776E-003
       1.0000000    -0.018729704    -0.015308101 -7.7529427E-003
