Results for:	
File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US09110286-1.zmx
Title:	
Date:	11/7/2025 5:51:26 PM

0 message(s) in output.
3 series table(s) in output.

Table series: Data for wavelength : 0.486133 µm.
        Y Height       Tan Shift       Sag Shift     Real Height     Ref. Height      Distortion
  --------------  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.14574858      0.14574858      0.00000000      0.00000000      0.00000000
      0.10800000      0.14574010      0.14574158      0.10791077      0.10791068  8.3508141E-005
      0.21600000      0.14571245      0.14572058      0.21582208      0.21582136  3.3404232E-004
      0.32400000      0.14566562      0.14568558      0.32373447      0.32373203  7.5163076E-004
      0.43200000      0.14559963      0.14563658      0.43164848      0.43164271  1.3363209E-003
      0.54000000      0.14551450      0.14557358      0.53956466      0.53955339  2.0881790E-003
      0.64800000      0.14541027      0.14549659      0.64748354      0.64746407  3.0072903E-003
      0.75600000      0.14528696      0.14540562      0.75540567      0.75537475  4.0937591E-003
      0.86400000      0.14514462      0.14530065      0.86333159      0.86328543  5.3477089E-003
      0.97200000      0.14498328      0.14518171      0.97126185      0.97119610  6.7692821E-003
       1.0800000      0.14480300      0.14504879       1.0791970       1.0791068  8.3586402E-003
       1.1880000      0.14460384      0.14490190       1.1871375       1.1870175     0.010115964
       1.2960000      0.14438585      0.14474105       1.2950841       1.2949281     0.012041454
       1.4040000      0.14414911      0.14456624       1.4030371       1.4028388     0.014135329
       1.5120000      0.14389370      0.14437748       1.5109972       1.5107495     0.016397829
       1.6200000      0.14361968      0.14417479       1.6189650       1.6186602     0.018829211
       1.7280000      0.14332716      0.14395816       1.7269409       1.7265709     0.021429754
       1.8360000      0.14301621      0.14372761       1.8349255       1.8344815     0.024199755
       1.9440000      0.14268694      0.14348315       1.9429194       1.9423922     0.027139533
       2.0520000      0.14233945      0.14322479       2.0509231       2.0503029     0.030249424
       2.1600000      0.14197386      0.14295254       2.1589372       2.1582136     0.033529787
       2.2680000      0.14159027      0.14266641       2.2669623       2.2661242     0.036980999
       2.3760000      0.14118880      0.14236642       2.3749989       2.3740349     0.040603458
       2.4840000      0.14076960      0.14205258       2.4830475       2.4819456     0.044397584
       2.5920000      0.14033277      0.14172489       2.5911088       2.5898563     0.048363815
       2.7000000      0.13987848      0.14138339       2.6991834       2.6977670     0.052502613
       2.8080000      0.13940685      0.14102807       2.8072717       2.8056776     0.056814457
       2.9160000      0.13891803      0.14065895       2.9153743       2.9135883     0.061299851
       3.0240000      0.13841219      0.14027606       3.0234919       3.0214990     0.065959319
       3.1320000      0.13788948      0.13987940       3.1316251       3.1294097     0.070793405
       3.2400000      0.13735007      0.13946899       3.2397743       3.2373203     0.075802678
       3.3480000      0.13679412      0.13904485       3.3479403       3.3452310     0.080987726
       3.4560000      0.13622182      0.13860700       3.4561235       3.4531417     0.086349161
       3.5640000      0.13563335      0.13815545       3.5643245       3.5610524     0.091887617
       3.6720000      0.13502888      0.13769022       3.6725441       3.6689631     0.097603751
       3.7800000      0.13440862      0.13721133       3.7807827       3.7768737      0.10349824
       3.8880000      0.13377276      0.13671880       3.8890410       3.8847844      0.10957179
       3.9960000      0.13312150      0.13621265       3.9973196       3.9926951      0.11582513
       4.1040000      0.13245505      0.13569289       4.1056191       4.1006058      0.12225901
       4.2120000      0.13177363      0.13515955       4.2139401       4.2085164      0.12887419
       4.3200000      0.13107744      0.13461265       4.3222833       4.3164271      0.13567149
       4.4280000      0.13036671      0.13405220       4.4306492       4.4243378      0.14265172
       4.5360000      0.12964166      0.13347823       4.5390385       4.5322485      0.14981573
       4.6440000      0.12890254      0.13289076       4.6474518       4.6401592      0.15716440
       4.7520000      0.12814956      0.13228980       4.7558898       4.7480698      0.16469862
       4.8600000      0.12738297      0.13167539       4.8643532       4.8559805      0.17241932
