Basis,program,"image size (1/2 diag, mm)",f/#,efl (mm),notes
Imaging_Optics_Figure_7_19a,zemax,24,4.4,100,Petzval portrait lens (present-day glasses); Imaging Optics  p. 449
Imaging_Optics_Figure_7_19b,zemax,24,4.4,100,Redesigned Petzval lens with reduced field curvature; Imaging Optics p. 449.
Imaging_Optics_Figure_7_20,zemax,23,3.4,100,Dallmeyer protrait lens; Imaging Optics p. 450.
Imaging_Optics_Figure_7_24,zemax,24,4.4,50,Triplet lens (SK16 - LF5 - SK16); Imaging Optics p.461.
Imaging_Optics_Figure_7_28_US1792917,zemax,61.8,4.5,100,"Double Gauss lens, US patent 1792917 (Carl Zeiss, Jena); Imaging Optics p. 462-466."
Imaging_Optics_Figure_7_6,zemax,1,5,100,"Apochromatic doublet (0.425 to 1.5 micron wavelength),"
Imaging_Optics_Figure_7_7,zemax,1,5,100,"Aprochromatic collimator (365 to 1050 nm), Imaging Optics p. 434"
JP1963-002613_Example01_Tale12,zemax,21.6,3.5,28,Nikon Nikkor-H 2.8cm f/3.5
JP1963-026133 Example01_Tale12,zemax,21.6,3.5,28,Nikon Nikkor-H 2.8cm f/3.5
JP1973-071634 Example02P,zemax,21.6,5.6,15,Nikon Nikkor 15mm f/5.6
JP1976-023175_Example02P,zemax,21.6,5.6,15,Nikon Nikkor 15mm f/5.6
JP1976-026535 Example01P,zemax,21.6,1.8,28,Konica Minolta UC Hexanon AR 28mm F1.8
JP1976-062037 Example01P,zemax,21.6,2.8,135,Konica Minolta 135mm F2.8 MD Tele Rokkor
JP1978-087728 Example01P,zemax,35,4,80,Mamiya-Sekor Macro C 80mm f4
JP1979-030821 Example01P,zemax,21.6,1.8,40,Konica Minolta Hexanon 40mm F1.8
JP1979-055423 Example01P,zemax,21.6,3.5,135,Konica Minolta Hexanon AR 135mm F3.5
JP1979-055424 Example01P,zemax,21.6,4,200,Konica Minolta Hexanon 200mm F4
JP1979-107336 Example01P,zemax,35,2.8,55,Mamiya 55mm f2.8N
JP1980-017129 Example01P,zemax,21.6,2.8,21,Konica Minolta Hexanon 21mm F2.8
JP1980-028038_Example01_Tale26,zemax,21.6,2.8,55,Nikon AI Micro-Nikkor 55mm f/2.8
JP1980-087117 Example01P,zemax,21.6,2.8,24,Konica Minolta Hexanon 24mm F2.8
JP1981-035116 Example01P,zemax,21.6,5.6,600,Nikon AI Nikkor 600mm f/5.6 IF-ED
JP1981-075613 Example01P,zemax,21.6,1.2,50,Canon FD50mm f/1.2L
JP1981-159613 Example01P,zemax,21.6,2.8,300,Canon New FD300mm f2.8L
JP1982-108817 Example01P,zemax,21.6,1.8,50,Konica Minolta Hexanon 50mm F1.8
JP1983-014810 Example03P,zemax,21.6,2.8,350,Olympus Zuiko Auto-T 350mm F2.8
JP1985-040604_Example01P,zemax,21.6,1.2,50,Canon FD50mm f/1.2L
JP1985-111215 ExampleMLP,zemax,21.6,1.7,50,Konica Minolta 50mm F1.7 MD
JP1986-090115 Example04P,zemax,20.57,4.5,105,Nikon UV-Micro-Nikkor 105mm f/4.5
JP1987-244010_EXAMPLE01P,zemax,21.6,1.4,85,Konica Minolta AF 85mm F1.4
JP1987-244010_EXAMPLE02P,zemax,21.6,2,100,Konica Minolta AF 100mm F2
JP1987-249119 Example04P,zemax,21.6,2.8,20,Konica Minolta AF 20mm F2.8
JP1988-017421_Example03P,zemax,21.6,2.8,15,Canon EF15mm f2.8 Fisheye
JP1988-201614_EXAMPLE04P,zemax,21.6,2,35,Konica Minolta AF 35mm F2
JP1989-031113 Example05P,zemax,21.6,2.8,28,Nikon R-UW AF Nikkor 28mm f/2.8
JP1990-248910_Example01P,zemax,21.6,2.8,15,Sigma 15mm F2.8 EX DG Diagonal Fisheye
JP1994-029897_Example04P,zemax,20.6,4.5,105,Nikon UV-Micro-Nikkor 105mm f/4.5
JP1996-110467 Example01P,zemax,21.6,1.8,85,Canon EF85mm f1.8 USM
JP1997-211319 Example01P,zemax,21.6,3.5,180,Canon EF180mm f3.5L Macro USM
JP1997-297263 Example01P,zemax,35,2.8,55,Phase One Mamiya AF 55mm f2.8
JP1998-206729 Example01P,zemax,35,4.5,300,Mamiya AF APO 300mm f4.5 IF
JP1999-211978 Example01P,zemax,21.6,1.4,35,Canon EF35mm f1.4L USM
JP1999-231209_EXAMPLE01P,zemax,21.6,2.8,135,Konica Minolta 135mm F2.8 T4.5 STF
JP2000-028919 Example01P,zemax,44.8,8,210,Mamiya 210mm f8
JP2000-275517 Example01_Tale24,zemax,4,,afocal,Nikon TC-E2 with Main Lens (front converter)
JP2000-292689 Example02P,zemax,33.31,2.8,85,Nikon PC-E Micro-Nikkor 85mm f/2.8D
JP2001-033704 Example01P,zemax,21.6,3.5,180,Sigma APO Macro 180mm F3.5 EX DG IF HSM
JP2001-174702 Example01_Tale24,zemax,4.47,,afocal,Nikon TC-E3ED with Main Lens
JP2003-005030 Example06_Tale78,zemax,21.6,2.8,45,Nikon AI Nikkor 45mm f/2.8P
JP2003-185916 Example01P,zemax,34.85,4,120,Phase One Schneider Kreuznach 120mm LS f4 Macro
JP2004-101880_Example02P,zemax,21.6,1.2,35,Cosina Voigtlander Nokton 35mm F1.2 Aspherical
JP2005-107261_Example05P,zemax,NA,NA,NA,Nikon AF-S Teleconverter TC-17E II
JP2008-003108_Example01P,zemax,11.3,3.5,8,Sigma 8mm F3.5 EX DG Circular Fisheye
JP2008-145584 Example01P,zemax,21.6,2,200,Canon EF200mm f2L IS USM
JP2011-048232_Example03P,zemax,10.8,2.8,45,Panasonic Leica DG Macro-Elmarit 45mm F2.8 Asph Mega OIS
JP2011-170128_Example05P,zemax,21.6,1.4,85,Sigma 85mm F1.4 EX DG HSM
JP2011-248340_Example01P,zemax,8.2,2.8,10,Nikon 1 Nikkor 10mm f/2.8
JP2012-159613_Example01P,zemax,14.2,3.5,30,Sony E 30mm F3.5 Macro
JP2012-234169_Example01P,zemax,14.2,2.8,30,Sigma 30mm F2.8 DN A
JP2012-242690_Example02P,zemax,14.2,1.8,50,Sony E 50mm F1.8 OSS
JP2013-003324_Example02P,zemax,10.8,1.4,25,Panasonic Leica DG Summilux 25mm F1.4 II Asph
JP2013-054269_Example01P,zemax,21.6,2.8,28,Canon EF28mm f2.8 IS USM
JP2013-104994_Example02P,zemax,21.6,2.8,180,Sigma APO Macro 180mm F2.8 EX DG OS HSM
JP2013-161076_Example01P,zemax,10.8,1.8,75,Olympus M.Zuiko Digital ED 75mm F1.8
JP2013-250290_Example01TCP,zemax,21.6,9,975,Nikon AF-S Teleconverter TC800-1.25E ED
JP2014-026184_Example04P,zemax,14.2,1.8,50,Ricoh smc Pentax-DA 50mm F1.8
JP2014-048488_Example03P,zemax,21.6,1.4,35,Sigma 35mm F1.4 DG HSM Art
JP2014-142520_Example01P,zemax,14.2,1.4,30,Sigma 30mm F1.4 DC HSM Art
JP2014-145954 Example01P,zemax,14.2,2.8,60,Sigma 60mm F2.8 DN A
