Field,Poly,0.4861,0.5876,0.6563
0.0,0.1461,0.128,0.0837,0.2015
0.8,0.1458,0.1385,0.0835,0.1932
1.6,0.1497,0.1712,0.0903,0.1692
2.4,0.1695,0.2272,0.1198,0.1336
3.2,0.2156,0.3062,0.1775,0.1013
4.0,0.2889,0.4068,0.2593,0.1122
4.8,0.3856,0.5271,0.3605,0.1802
5.6,0.5012,0.6646,0.478,0.2789
6.4,0.6322,0.8171,0.6092,0.3948
7.2,0.7757,0.9819,0.7515,0.5226
8.0,0.9296,1.157,0.903,0.6592
8.8,1.0935,1.3416,1.0629,0.803
9.6,1.2721,1.5401,1.2339,0.9556
10.4,1.4854,1.7738,1.4307,1.1285
11.2,1.8,2.1193,1.7059,1.3663
12.0,2.4154,2.8159,2.2259,1.811
