Field,Poly,0.4360,0.4861,0.5876,0.6563,0.7060
0.0,0.95739681,1.3234044,1.2857497,0.81837655,0.56622818,0.43374775
2.3333333,0.95849287,1.3249899,1.2869749,0.81928937,0.56704255,0.43451556
4.6666667,0.96157577,1.3294808,1.2904129,0.82183481,0.56931553,0.4366631
7.0,0.9660334,1.3360831,1.2953545,0.82543835,0.5725423,0.43972917
9.3333333,0.97085838,1.3434833,1.3006301,0.82915798,0.57590029,0.44296682
11.666667,0.97466877,1.3498648,1.304628,0.83170834,0.57827834,0.44537737
14.0,0.97574007,1.3529337,1.3053239,0.83149704,0.5783213,0.44576277
16.333333,0.97205293,1.3499578,1.3003212,0.82667754,0.57449699,0.4428066
18.666667,0.96136434,1.3378218,1.286909,0.81522781,0.56520142,0.43520636
21.0,0.94131764,1.3131089,1.2621468,0.79507398,0.54893586,0.42190598
23.333333,0.90962355,1.2722256,1.2229921,0.7642999,0.52462949,0.40253506
25.666667,0.86438255,1.2116078,1.1665152,0.7215348,0.49227292,0.37828142
28.0,0.80471202,1.1281035,1.0902914,0.66673506,0.45422813,0.35360965
30.333333,0.73207314,1.0197819,0.99320937,0.60287787,0.41787755,0.33905759
32.666667,0.65323249,0.88789302,0.87732707,0.53967135,0.39971389,0.35272864
35.0,0.58648689,0.74227363,0.75253956,0.50016684,0.42556674,0.4133491
