Field,Poly,0.4861,0.5876,0.6563
0.0,0.40619221,0.60125533,0.34718594,0.11371142
1.44,0.41850859,0.61530063,0.35929022,0.11453168
2.88,0.45425309,0.65600361,0.3944637,0.12287786
4.32,0.50992762,0.71920591,0.44939784,0.1501655
5.76,0.57997942,0.79832863,0.51883165,0.19948827
7.2,0.65703104,0.88467932,0.59575029,0.26385716
8.64,0.7321307,0.96776516,0.67160142,0.33339881
10.08,0.79515347,1.0357578,0.73664317,0.3983613
11.52,0.83557985,1.076385,0.78060479,0.44989633
12.96,0.84421579,1.0789008,0.79411337,0.48170447
14.4,0.81752774,1.0390258,0.77225742,0.49470051
15.84,0.76953195,0.97241306,0.72451168,0.50837502
17.28,0.76020099,0.94737834,0.70045309,0.57705955
18.72,0.91341836,1.1108594,0.81595286,0.77567216
20.16,1.3258251,1.5870847,1.1758974,1.1482619
21.6,2.0105563,2.395059,1.7967706,1.7117021
