Field,Poly,0.5580,0.4830,0.6340,0.4330,0.6850
0.0,1.5490753,0.24768947,1.0255908,0.71166759,3.7672131,1.1443727
1.3333333,1.5947789,0.3021055,1.0654919,0.7394838,3.803124,1.1671503
2.6666667,1.7272307,0.44308566,1.1867671,0.82545927,3.9139816,1.2382332
4.0,1.9368158,0.65237818,1.3943052,0.97615462,4.1089779,1.3651643
5.3333333,2.2173226,0.93384009,1.6967467,1.2004753,4.4029018,1.5586648
6.6666667,2.5719053,1.3006392,2.1070623,1.5091826,4.815621,1.8312495
8.0,3.0156788,1.7706163,2.643265,1.9156429,5.3718645,2.1969421
9.3333333,3.5763941,2.3660142,3.3293018,2.436994,6.1016392,2.6720801
10.666667,4.2941176,3.1143862,4.1961617,3.0953078,7.0414316,3.2766784
12.0,5.2203821,4.0498762,5.2832366,3.9187566,8.236132,4.0359231
13.333333,6.4174392,5.2147375,6.6399625,4.9429014,9.7414771,4.981679
14.666667,7.9583683,6.6611108,8.3277748,6.2122047,11.626814,6.1540742
16.0,9.9285114,8.4531232,10.422417,7.7818508,13.978076,7.6032782
17.333333,12.428248,10.669405,13.016682,9.7199665,16.900973,9.391603
18.666667,15.576891,13.406198,16.223753,12.110402,20.524592,11.596099
20.0,19.517578,16.78139,20.181539,15.056351,25.005819,14.311913
