Results for:	
File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\Imaging_Optics_Figure_7_6.zmx
Title:	Apochromatic doublet (0.425 to 1.5 micron wavelength), Imaging Optics p. 434
Date:	11/7/2025 5:24:17 PM

0 message(s) in output.
9 series table(s) in output.

Table series: Data for wavelength : 0.425000 µm.
        Y Height       Tan Shift       Sag Shift     Real Height     Ref. Height      Distortion
  --------------  --------------  --------------  --------------  --------------  --------------
      0.00000000     0.041653569     0.041653569      0.00000000      0.00000000      0.00000000
     0.010000000     0.041651861     0.041652725  9.9957543E-003  9.9957543E-003  2.4713458E-008
     0.020000000     0.041646635     0.041650191     0.019991509     0.019991509  9.8853953E-008
     0.030000000     0.041637892     0.041645969     0.029987263     0.029987263  2.2242145E-007
     0.040000000     0.041625633     0.041640057     0.039983017     0.039983017  3.9541597E-007
     0.050000000     0.041609856     0.041632456     0.049978772     0.049978771  6.1783756E-007
     0.060000000     0.041590563     0.041623166     0.059974526     0.059974526  8.8968614E-007
     0.070000000     0.041567753     0.041612187     0.069970281     0.069970280  1.2109619E-006
     0.080000000     0.041541426     0.041599519     0.079966036     0.079966034  1.5816648E-006
     0.090000000     0.041511582     0.041585161     0.089961790     0.089961789  2.0017949E-006
      0.10000000     0.041478222     0.041569115     0.099957545     0.099957543  2.4713521E-006
      0.11000000     0.041441344     0.041551379      0.10995330      0.10995330  2.9903368E-006
      0.12000000     0.041400950     0.041531955      0.11994906      0.11994905  3.5587487E-006
      0.13000000     0.041357039     0.041510841      0.12994481      0.12994481  4.1765881E-006
      0.14000000     0.041309611     0.041488039      0.13994057      0.13994056  4.8438550E-006
      0.15000000     0.041258666     0.041463547      0.14993632      0.14993631  5.5605494E-006
      0.16000000     0.041204205     0.041437366      0.15993208      0.15993207  6.3266715E-006
      0.17000000     0.041146226     0.041409496      0.16992784      0.16992782  7.1422214E-006
      0.18000000     0.041084731     0.041379937      0.17992359      0.17992358  8.0071992E-006
      0.19000000     0.041019719     0.041348689      0.18991935      0.18991933  8.9216049E-006
      0.20000000     0.040951191     0.041315752      0.19991511      0.19991509  9.8854387E-006
      0.21000000     0.040879145     0.041281126      0.20991086      0.20991084  1.0898701E-005
      0.22000000     0.040803583     0.041244811      0.21990662      0.21990659  1.1961391E-005
      0.23000000     0.040724504     0.041206806      0.22990238      0.22990235  1.3073510E-005
      0.24000000     0.040641909     0.041167113      0.23989814      0.23989810  1.4235057E-005
      0.25000000     0.040555797     0.041125731      0.24989390      0.24989386  1.5446033E-005
      0.26000000     0.040466168     0.041082659      0.25988966      0.25988961  1.6706438E-005
      0.27000000     0.040373022     0.041037899      0.26988541      0.26988537  1.8016272E-005
      0.28000000     0.040276360     0.040991450      0.27988117      0.27988112  1.9375535E-005
      0.29000000     0.040176181     0.040943311      0.28987693      0.28987687  2.0784227E-005
      0.30000000     0.040072486     0.040893484      0.29987270      0.29987263  2.2242349E-005
      0.31000000     0.039965274     0.040841967      0.30986846      0.30986838  2.3749900E-005
      0.32000000     0.039854545     0.040788762      0.31986422      0.31986414  2.5306882E-005
      0.33000000     0.039740300     0.040733867      0.32985998      0.32985989  2.6913293E-005
