Results for:	Listing of Longitudinal Aberration Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\JP1997-297263_Example01P.zmx
Title:	JP 1997-297263 Example 1 (Phase One Mamiya AF 55mm f2.8)
Date:	11/7/2025 3:44:31 PM

0 message(s) in output.
1 series table(s) in output.

Table series: Units are Millimeters.
      Rel. Pupil          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------
      0.00000000    -0.062587981  4.3480994E-004     0.087773968
     0.010000000    -0.062638179  3.8127089E-004     0.087720228
     0.020000000    -0.062838860  1.6722809E-004     0.087505383
     0.030000000    -0.063172932 -1.8910622E-004     0.087147718
     0.040000000    -0.063639801 -6.8712647E-004     0.086647847
     0.050000000    -0.064238634 -1.3259849E-003     0.086006629
     0.060000000    -0.064968364 -2.1045917E-003     0.085225169
     0.070000000    -0.065827683 -3.0216148E-003     0.084304819
     0.080000000    -0.066815047 -4.0754800E-003     0.083247175
     0.090000000    -0.067928675 -5.2643715E-003     0.082054080
      0.10000000    -0.069166551 -6.5862312E-003     0.080727620
      0.11000000    -0.070526421 -8.0387595E-003     0.079270130
      0.12000000    -0.072005795 -9.6194151E-003     0.077684188
      0.13000000    -0.073601947    -0.011325415     0.075972619
      0.14000000    -0.075311919    -0.013153737     0.074138491
      0.15000000    -0.077132516    -0.015101115     0.072185120
      0.16000000    -0.079060309    -0.017164044     0.070116066
      0.17000000    -0.081091639    -0.019338780     0.067935132
      0.18000000    -0.083222612    -0.021621339     0.065646366
      0.19000000    -0.085449106    -0.024007498     0.063254062
      0.20000000    -0.087766769    -0.026492795     0.060762753
      0.21000000    -0.090171019    -0.029072533     0.058177218
      0.22000000    -0.092657051    -0.031741778     0.055502477
      0.23000000    -0.095219831    -0.034495362     0.052743790
      0.24000000    -0.097854108    -0.037327882     0.049906656
      0.25000000     -0.10055441    -0.040233705     0.046996815
      0.26000000     -0.10331504    -0.043206968     0.044020241
      0.27000000     -0.10613009    -0.046241580     0.040983145
      0.28000000     -0.10899345    -0.049331225     0.037891968
      0.29000000     -0.11189880    -0.052469365     0.034753386
      0.30000000     -0.11483960    -0.055649243     0.031574298
      0.31000000     -0.11780913    -0.058863885     0.028361832
      0.32000000     -0.12080047    -0.062106108     0.025123335
      0.33000000     -0.12380652    -0.065368518     0.021866372
      0.34000000     -0.12681999    -0.068643524     0.018598719
      0.35000000     -0.12983341    -0.071923335     0.015328364
      0.36000000     -0.13283915    -0.075199972     0.012063493
      0.37000000     -0.13582944    -0.078465273  8.8124888E-003
      0.38000000     -0.13879634    -0.081710900  5.5839245E-003
      0.39000000     -0.14173178    -0.084928350  2.3865525E-003
      0.40000000     -0.14462757    -0.088108965 -7.7070287E-004
      0.41000000     -0.14747540    -0.091243939 -3.8787552E-003
      0.42000000     -0.15026688    -0.094324336 -6.9283673E-003
      0.43000000     -0.15299351    -0.097341098 -9.9101634E-003
      0.44000000     -0.15564675     -0.10028506    -0.012814643
      0.45000000     -0.15821802     -0.10314698    -0.015632195
      0.46000000     -0.16069870     -0.10591753    -0.018353116
      0.47000000     -0.16308019     -0.10858735    -0.020967629
      0.48000000     -0.16535389     -0.11114702    -0.023465901
      0.49000000     -0.16751129     -0.11358717    -0.025838072
      0.50000000     -0.16954394     -0.11589839    -0.028074268
      0.51000000     -0.17144354     -0.11807138    -0.030164648
      0.52000000     -0.17320194     -0.12009691    -0.032099420
      0.53000000     -0.17481118     -0.12196585    -0.033868875
      0.54000000     -0.17626357     -0.12366927    -0.035463433
      0.55000000     -0.17755172     -0.12519842    -0.036873681
      0.56000000     -0.17866859     -0.12654483    -0.038090417
      0.57000000     -0.17960756     -0.12770033    -0.039104705
      0.58000000     -0.18036251     -0.12865713    -0.039907927
      0.59000000     -0.18092789     -0.12940787    -0.040491847
      0.60000000     -0.18129878     -0.12994572    -0.040848682
      0.61000000     -0.18147101     -0.13026441    -0.040971174
      0.62000000     -0.18144126     -0.13035838    -0.040852677
      0.63000000     -0.18120715     -0.13022285    -0.040487249
      0.64000000     -0.18076739     -0.12985391    -0.039869755
      0.65000000     -0.18012191     -0.12924868    -0.038995980
      0.66000000     -0.17927199     -0.12840542    -0.037862757
      0.67000000     -0.17822045     -0.12732367    -0.036468106
      0.68000000     -0.17697185     -0.12600444    -0.034811389
      0.69000000     -0.17553265     -0.12445037    -0.032893484
      0.70000000     -0.17391148     -0.12266595    -0.030716975
      0.71000000     -0.17211937     -0.12065772    -0.028286362
      0.72000000     -0.17017004     -0.11843456    -0.025608306
      0.73000000     -0.16808022     -0.11600792    -0.022691883
      0.74000000     -0.16586998     -0.11339216    -0.019548883
      0.75000000     -0.16356316     -0.11060490    -0.016194145
      0.76000000     -0.16118773     -0.10766738    -0.012645900
      0.77000000     -0.15877637     -0.10460492 -8.9262099E-003
      0.78000000     -0.15636694     -0.10144738 -5.0614096E-003
      0.79000000     -0.15400312    -0.098229723 -1.0826258E-003
      0.80000000     -0.15173510    -0.094992611  2.9736449E-003
      0.81000000     -0.14962032    -0.091783095  7.0648852E-003
      0.82000000     -0.14772439    -0.088655383     0.011141825
      0.83000000     -0.14612201    -0.085671714     0.015147613
      0.84000000     -0.14489812    -0.082903342     0.019016886
      0.85000000     -0.14414914    -0.080431646     0.022674703
      0.86000000     -0.14398439    -0.078349401     0.026035353
      0.87000000     -0.14452769    -0.076762216     0.029000980
      0.88000000     -0.14591926    -0.075790168     0.031460032
      0.89000000     -0.14831777    -0.075569684     0.033285477
      0.90000000     -0.15190281    -0.076255681     0.034332772
      0.91000000     -0.15687764    -0.078024035     0.034437516
      0.92000000     -0.16347239    -0.081074420     0.033412762
      0.93000000     -0.17194780    -0.085633585     0.031045904
      0.94000000     -0.18259949    -0.091959161     0.027095073
      0.95000000     -0.19576296     -0.10034407     0.021284951
      0.96000000     -0.21181947     -0.11112172     0.013301876
      0.97000000     -0.23120285     -0.12467195  2.7881601E-003
      0.98000000     -0.25440766     -0.14142828    -0.010664703
      0.99000000     -0.28199868     -0.16188621    -0.027523923
       1.0000000     -0.31462231     -0.18661322    -0.048324838
