Rel. Pupil,0.4861,0.5876,0.6563
0.00000000 -2.0680362E-003,-0.027291588,-0.013911244,
0.010000000 -2.0637137E-003,-0.027289105,-0.013909449,
0.020000000 -2.0464183E-003,-0.027279168,-0.013902263,
0.030000000 -2.0175739E-003,-0.027262588,-0.013890269,
0.040000000 -1.9771526E-003,-0.027239340,-0.013873441,
0.050000000 -1.9251150E-003,-0.027209386,-0.013851744,
0.060000000 -1.8614107E-003,-0.027172679,-0.013825131,
0.070000000 -1.7859779E-003,-0.027129162,-0.013793546,
0.080000000 -1.6987436E-003,-0.027078765,-0.013756922,
0.090000000 -1.5996236E-003,-0.027021410,-0.013715181,
0.10000000 -1.4885221E-003,-0.026957006,-0.013668236,
0.11000000 -1.3653322E-003,-0.026885454,-0.013615990,
0.12000000 -1.2299356E-003,-0.026806642,-0.013558333,
0.13000000 -1.0822024E-003,-0.026720448,-0.013495147,
0.14000000 -9.2199147E-004,-0.026626741,-0.013426303,
0.15000000 -7.4915004E-004,-0.026525376,-0.013351660,
0.16000000 -5.6351383E-004,-0.026416200,-0.013271068,
0.17000000 -3.6490696E-004,-0.026299046,-0.013184366,
0.18000000 -1.5314189E-004,-0.026173741,-0.013091383,
0.19000000,7.1980620E-005,-0.026040095,-0.012991936
0.20000000,3.1067160E-004,-0.025897913,-0.012885832
0.21000000,5.6315391E-004,-0.025746983,-0.012772866
0.22000000,8.2966232E-004,-0.025587086,-0.012652824
0.23000000,1.1104436E-003,-0.025417991,-0.012525479
0.24000000,1.4057565E-003,-0.025239454,-0.012390595
0.25000000,1.7158720E-003,-0.025051222,-0.012247924
0.26000000,2.0410733E-003,-0.024853028,-0.012097207
0.27000000,2.3816559E-003,-0.024644596,-0.011938172
0.28000000,2.7379277E-003,-0.024425636,-0.011770539
0.29000000,3.1102090E-003,-0.024195848,-0.011594013
0.30000000,3.4988329E-003,-0.023954919,-0.011408290
0.31000000,3.9041450E-003,-0.023702525,-0.011213053
0.32000000,4.3265040E-003,-0.023438330,-0.011007975
0.33000000,4.7662812E-003,-0.023161986,-0.010792715
0.34000000,5.2238613E-003,-0.022873130,-0.010566921
0.35000000,5.6996418E-003,-0.022571392,-0.010330229
0.36000000,6.1940338E-003,-0.022256384,-0.010082264
0.37000000,6.7074617E-003,-0.021927708 -9.8226355E-003,
0.38000000,7.2403635E-003,-0.021584955 -9.5509443E-003,
