Rel. Pupil,0.4861,0.5876,0.6563
0.00000000,-0.025756504,-0.015848835 -9.1103387E-003,
0.010000000,-0.025725480,-0.015818582 -9.0803199E-003,
0.020000000,-0.025601727,-0.015697910 -8.9605834E-003,
0.030000000,-0.025396688,-0.015497993 -8.7622238E-003,
0.040000000,-0.025112174,-0.015220626 -8.4870284E-003,
0.050000000,-0.024750691,-0.014868287 -8.1374703E-003,
0.060000000,-0.024315411,-0.014444118 -7.7166798E-003,
0.070000000,-0.023810135,-0.013951880 -7.2284087E-003,
0.080000000,-0.023239254,-0.013395917 -6.6769867E-003,
0.090000000,-0.022607693,-0.012781103 -6.0672729E-003,
0.10000000,-0.021920864,-0.012112789 -5.4046003E-003,
0.11000000,-0.021184597,-0.011396741 -4.6947158E-003,
0.12000000,-0.020405084,-0.010639078 -3.9437169E-003,
0.13000000,-0.019588804 -9.8462039E-003 -3.1579838E-003,,
0.14000000,-0.018742461 -9.0247375E-003 -2.3441107E-003,,
0.15000000,-0.017872907 -8.1814428E-003 -1.5088341E-003,,
0.16000000,-0.016987071 -7.3231569E-003 -6.5896214E-004,,
0.17000000,-0.016091890 -6.4567192E-003,1.9869648E-004,
0.18000000,-0.015194239 -5.5889018E-003,1.0574023E-003,
0.19000000,-0.014300861 -4.7263417E-003,1.9105524E-003,
0.20000000,-0.013418304 -3.8754767E-003,2.7517449E-003,
0.21000000,-0.012552857 -3.0424843E-003,3.5748396E-003,
0.22000000,-0.011710497 -2.2332250E-003,4.3740148E-003,
0.23000000,-0.010896834 -1.4531912E-003,5.1438185E-003,
0.24000000,-0.010117068 -7.0746072E-004,5.8792143E-003,
0.25000000 -9.3759437E-003 -6.5665954E-007,6.5756219E-003,,
0.26000000 -8.6777199E-003,6.6308650E-004,7.2289510E-003,
0.27000000 -8.0261403E-003,1.2801505E-003,7.8356282E-003,
0.28000000 -7.4244126E-003,1.8474542E-003,8.3926186E-003,
0.29000000 -6.8751939E-003,2.3624679E-003,8.8974394E-003,
0.30000000 -6.3805831E-003,2.8232209E-003,9.3481680E-003,
0.31000000 -5.9421192E-003,3.2283023E-003,9.7434422E-003,
0.32000000 -5.5607872E-003,3.5768563E-003,0.010082456,
0.33000000 -5.2370285E-003,3.8685701E-003,0.010364946,
0.34000000 -4.9707589E-003,4.1036573E-003,0.010591178,
0.35000000 -4.7613903E-003,4.2828351E-003,0.010761920,
0.36000000 -4.6078588E-003,4.4072968E-003,0.010878418,
0.37000000 -4.5086563E-003,4.4786802E-003,0.010942363,
0.38000000 -4.4618668E-003,4.4990311E-003,0.010955853,
0.39000000 -4.4652050E-003,4.4707650E-003,0.010921359,
0.40000000 -4.5160595E-003,4.3966242E-003,0.010841678,
0.41000000 -4.6115364E-003,4.2796340E-003,0.010719892,
0.42000000 -4.7485057E-003,4.1230570E-003,0.010559318,
0.43000000 -4.9236483E-003,3.9303460E-003,0.010363466,
0.44000000 -5.1335033E-003,3.7050970E-003,0.010135992,
0.45000000 -5.3745154E-003,3.4510020E-003,9.8806456E-003,
0.46000000 -5.6430816E-003,3.1718032E-003,9.6012288E-003,
0.47000000 -5.9355956E-003,2.8712476E-003,9.3015499E-003,
0.48000000 -6.2484919E-003,2.5530448E-003,8.9853805E-003,
0.49000000 -6.5782857E-003,2.2208261E-003,8.6564149E-003,
0.50000000 -6.9216110E-003,1.8781072E-003,8.3182336E-003,
0.51000000 -7.2752547E-003,1.5282546E-003,7.9742685E-003,
0.52000000 -7.6361868E-003,1.1744551E-003,7.6277739E-003,
0.53000000 -8.0015865E-003,8.1969051E-004,7.2818003E-003,
0.54000000 -8.3688628E-003,4.6671704E-004,6.9391739E-003,
0.55000000 -8.7356702E-003,1.1804944E-004,6.6024815E-003,
0.56000000 -9.0999194E-003 -2.2404878E-004,6.2740600E-003,,
0.57000000 -9.4597810E-003 -5.5756942E-004,5.9559927E-003,,
0.58000000 -9.8136834E-003 -8.8075739E-004,5.6501119E-003,,
0.59000000,-0.010160305 -1.1921019E-003,5.3580072E-003,
0.60000000,-0.010498556 -1.4903211E-003,5.0810411E-003,
0.61000000,-0.010827561 -1.7743393E-003,4.8203722E-003,
