Rel. Pupil,0.4700,0.5100,0.5550,0.6100,0.6500
0.00000000,-0.013759039,-0.019696374 -5.5346530E-003,0.023847575,0.048530645,
0.010000000,-0.013757041,-0.019696323 -5.5357168E-003,0.023845972,0.048528979,
0.020000000,-0.013749049,-0.019696121 -5.5399715E-003,0.023839563,0.048522317,
0.030000000,-0.013735739,-0.019695787 -5.5470597E-003,0.023828891,0.048511227,
0.040000000,-0.013717128,-0.019695328 -5.5569768E-003,0.023813970,0.048495729,
0.050000000,-0.013693237,-0.019694749 -5.5697165E-003,0.023794820,0.048475850,
0.060000000,-0.013664094,-0.019694060 -5.5852708E-003,0.023771464,0.048451627,
0.070000000,-0.013629734,-0.019693273 -5.6036296E-003,0.023743936,0.048423101,
0.080000000,-0.013590198,-0.019692400 -5.6247813E-003,0.023712270,0.048390325,
0.090000000,-0.013545534,-0.019691459 -5.6487122E-003,0.023676509,0.048353359,
0.10000000,-0.013495796,-0.019690465 -5.6754070E-003,0.023636701,0.048312270,
0.11000000,-0.013441044,-0.019689440 -5.7048485E-003,0.023592900,0.048267134,
0.12000000,-0.013381346,-0.019688405 -5.7370176E-003,0.023545166,0.048218035,
0.13000000,-0.013316777,-0.019687385 -5.7718936E-003,0.023493563,0.048165066,
0.14000000,-0.013247417,-0.019686407 -5.8094536E-003,0.023438163,0.048108328,
0.15000000,-0.013173357,-0.019685501 -5.8496734E-003,0.023379044,0.048047930,
0.16000000,-0.013094691,-0.019684699 -5.8925267E-003,0.023316289,0.047983990,
0.17000000,-0.013011524,-0.019684034 -5.9379854E-003,0.023249987,0.047916635,
0.18000000,-0.012923966,-0.019683546 -5.9860199E-003,0.023180234,0.047846001,
0.19000000,-0.012832138,-0.019683273 -6.0365986E-003,0.023107132,0.047772231,
0.20000000,-0.012736166,-0.019683260 -6.0896884E-003,0.023030789,0.047695481,
0.21000000,-0.012636186,-0.019683552 -6.1452545E-003,0.022951320,0.047615911,
0.22000000,-0.012532345,-0.019684201 -6.2032605E-003,0.022868844,0.047533695,
0.23000000,-0.012424794,-0.019685258 -6.2636684E-003,0.022783491,0.047449014,
0.24000000,-0.012313699,-0.019686781 -6.3264386E-003,0.022695393,0.047362060,
0.25000000,-0.012199231,-0.019688831 -6.3915300E-003,0.022604692,0.047273032,
0.26000000,-0.012081575,-0.019691473 -6.4589002E-003,0.022511534,0.047182142,
0.27000000,-0.011960924,-0.019694775 -6.5285052E-003,0.022416075,0.047089611,
0.28000000,-0.011837483,-0.019698811 -6.6002996E-003,0.022318475,0.046995670,
0.29000000,-0.011711468,-0.019703660 -6.6742365E-003,0.022218903,0.046900563,
0.30000000,-0.011583107,-0.019709403 -6.7502679E-003,0.022117536,0.046804542,
0.31000000,-0.011452641,-0.019716129 -6.8283438E-003,0.022014557,0.046707872,
0.32000000,-0.011320321,-0.019723930 -6.9084132E-003,0.021910158,0.046610830,
0.33000000,-0.011186413,-0.019732905 -6.9904233E-003,0.021804538,0.046513704,
0.34000000,-0.011051198,-0.019743157 -7.0743192E-003,0.021697907,0.046416795,
0.35000000,-0.010914967,-0.019754796 -7.1600447E-003,0.021590481,0.046320419,
0.36000000,-0.010778029,-0.019767936 -7.2475409E-003,0.021482489,0.046224904,
0.37000000,-0.010640704,-0.019782697 -7.3367465E-003,0.021374167,0.046130593,
0.38000000,-0.010503330,-0.019799204 -7.4275975E-003,0.021265763,0.046037846,
0.39000000,-0.010366260,-0.019817588 -7.5200263E-003,0.021157539,0.045947039,
0.40000000,-0.010229859,-0.019837986 -7.6139615E-003,0.021049765,0.045858564,
0.41000000,-0.010094511,-0.019860538 -7.7093270E-003,0.020942729,0.045772834,
0.42000000 -9.9606146E-003,-0.019885388 -7.8060409E-003,0.020836730,0.045690283,,
0.43000000 -9.8285837E-003,-0.019912686 -7.9040153E-003,0.020732088,0.045611364,,
0.44000000 -9.6988477E-003,-0.019942584 -8.0031544E-003,0.020629136,0.045536558,,
0.45000000 -9.5718514E-003,-0.019975236 -8.1033533E-003,0.020528230,0.045466368,,
0.46000000 -9.4480543E-003,-0.020010797 -8.2044970E-003,0.020429746,0.045401329,,
0.47000000 -9.3279304E-003,-0.020049424 -8.3064578E-003,0.020334084,0.045342003,,
0.48000000 -9.2119675E-003,-0.020091270 -8.4090944E-003,0.020241673,0.045288989,,
0.49000000 -9.1006664E-003,-0.020136487 -8.5122483E-003,0.020152967,0.045242922,,
0.50000000 -8.9945396E-003,-0.020185224 -8.6157428E-003,0.020068455,0.045204477,,
0.51000000 -8.8941107E-003,-0.020237620 -8.7193790E-003,0.019988663,0.045174373,,
0.52000000 -8.7999130E-003,-0.020293807 -8.8229333E-003,0.019914155,0.045153379,,
0.53000000 -8.7124876E-003,-0.020353905 -8.9261540E-003,0.019845539,0.045142316,,
0.54000000 -8.6323821E-003,-0.020418020 -9.0287572E-003,0.019783473,0.045142064,,
0.55000000 -8.5601485E-003,-0.020486241 -9.1304226E-003,0.019728668,0.045153568,,
0.56000000 -8.4963417E-003,-0.020558636 -9.2307896E-003,0.019681895,0.045177841,,
0.57000000 -8.4415166E-003,-0.020635249 -9.3294521E-003,0.019643988,0.045215976,,
0.58000000 -8.3962261E-003,-0.020716094 -9.4259530E-003,0.019615856,0.045269147,,
0.59000000 -8.3610191E-003,-0.020801155 -9.5197793E-003,0.019598484,0.045338621,,
0.60000000 -8.3364373E-003,-0.020890377 -9.6103555E-003,0.019592943,0.045425763,,
0.61000000 -8.3230139E-003,-0.020983667 -9.6970379E-003,0.019600400,0.045532049,,
