Rel. Pupil,0.4600,0.5500,0.6300,0.9000
0.00000000,9.8385147E-004,-5.1663865E-007,5.1520585E-004,4.3297321E-003
0.010000000,9.8245441E-004,-2.0664678E-006,5.1358207E-004,4.3280030E-003
0.020000000,9.7686755E-004,-8.2644811E-006,5.0708820E-004,4.3210875E-003
0.030000000,9.6756106E-004,-1.8589868E-005,4.9626959E-004,4.3095660E-003
0.040000000,9.5454236E-004,-3.3035672E-005,4.8113297E-004,4.2934451E-003
0.050000000,9.3782183E-004,-5.1592141E-005,4.6168782E-004,4.2727337E-003
0.060000000,9.1741285E-004,-7.4246717E-005,4.3794630E-004,4.2474435E-003
0.070000000,8.9333181E-004,-1.0098403E-004,4.0992332E-004,4.2175890E-003
0.080000000,8.6559813E-004,-1.3178585E-004,3.7763657E-004,4.1831870E-003
0.090000000,8.3423424E-004,-1.6663113E-004,3.4110646E-004,4.1442571E-003
0.10000000,7.9926569E-004,-2.0549590E-004,3.0035623E-004,4.1008218E-003
0.11000000,7.6072109E-004,-2.4835330E-004,2.5541194E-004,4.0529059E-003
0.12000000,7.1863220E-004,-2.9517354E-004,2.0630248E-004,4.0005373E-003
0.13000000,6.7303395E-004,-3.4592383E-004,1.5305964E-004,3.9437465E-003
0.14000000,6.2396448E-004,-4.0056839E-004,9.5718133E-005,3.8825668E-003
0.15000000,5.7146517E-004,-4.5906839E-004,3.4315623E-005,3.8170343E-003
0.16000000,5.1558074E-004,-5.2138188E-004,-3.1107217E-005,3.7471882E-003
0.17000000,4.5635922E-004,-5.8746378E-004,-1.0050666E-004,3.6730704E-003
0.18000000,3.9385208E-004,-6.5726580E-004,-1.7383588E-004,3.5947259E-003
0.19000000,3.2811424E-004,-7.3073640E-004,-2.5104490E-004,3.5122026E-003
0.20000000,2.5920419E-004,-8.0782074E-004,-3.3208051E-004,3.4255518E-003
0.21000000,1.8718398E-004,-8.8846055E-004,-4.1688623E-004,3.3348275E-003
0.22000000,1.1211939E-004,-9.7259416E-004,-5.0540224E-004,3.2400872E-003
0.23000000,3.4079913E-005,-1.0601564E-003,-5.9756530E-004,3.1413917E-003
