Rel. Pupil,0.5580,0.4830,0.6340,0.4330,0.6850
0.00000000,0.011438597,0.011833480,0.086285716,0.14073161,0.15041931
0.010000000,0.011434517,0.011833688,0.086279361,0.14073717,0.15041203
0.020000000,0.011418205,0.011834528,0.086253946,0.14075941,0.15038291
0.030000000,0.011391049,0.011835959,0.086211618,0.14079650,0.15033440
0.040000000,0.011353093,0.011838026,0.086152422,0.14084849,0.15026655
0.050000000,0.011304400,0.011840793,0.086076420,0.14091546,0.15017943
0.060000000,0.011245050,0.011844343,0.085983694,0.14099749,0.15007311
0.070000000,0.011175141,0.011848775,0.085874341,0.14109467,0.14994769
0.080000000,0.011094789,0.011854208,0.085748478,0.14120715,0.14980330
0.090000000,0.011004128,0.011860778,0.085606239,0.14133506,0.14964006
0.10000000,0.010903308,0.011868639,0.085447776,0.14147856,0.14945813
0.11000000,0.010792498,0.011877963,0.085273257,0.14163783,0.14925768
0.12000000,0.010671883,0.011888940,0.085082868,0.14181308,0.14903890
0.13000000,0.010541666,0.011901775,0.084876813,0.14200452,0.14880199
0.14000000,0.010402065,0.011916694,0.084655313,0.14221239,0.14854717
0.15000000,0.010253318,0.011933937,0.084418604,0.14243694,0.14827469
0.16000000,0.010095678,0.011953763,0.084166942,0.14267844,0.14798480
0.17000000,9.9294124E-003,0.011976446,0.083900595,0.14293719,0.14767777
0.18000000,9.7548077E-003,0.012002277,0.083619851,0.14321349,0.14735390
0.19000000,9.5721649E-003,0.012031564,0.083325013,0.14350766,0.14701348
0.20000000,9.3818008E-003,0.012064631,0.083016399,0.14382005,0.14665684
0.21000000,9.1840475E-003,0.012101815,0.082694343,0.14415100,0.14628432
0.22000000,8.9792522E-003,0.012143472,0.082359195,0.14450091,0.14589627
0.23000000,8.7677769E-003,0.012189970,0.082011319,0.14487015,0.14549305
0.24000000,8.5499978E-003,0.012241693,0.081651093,0.14525913,0.14507506
0.25000000,8.3263053E-003,0.012299040,0.081278910,0.14566827,0.14464268
0.26000000,8.0971032E-003,0.012362422,0.080895178,0.14609801,0.14419633
0.27000000,7.8628088E-003,0.012432265,0.080500315,0.14654879,0.14373643
0.28000000,7.6238521E-003,0.012509007,0.080094757,0.14702107,0.14326342
0.29000000,7.3806753E-003,0.012593099,0.079678948,0.14751535,0.14277775
0.30000000,7.1337325E-003,0.012685004,0.079253346,0.14803209,0.14227989
0.31000000,6.8834891E-003,0.012785195,0.078818422,0.14857181,0.14177031
0.32000000,6.6304214E-003,0.012894159,0.078374655,0.14913502,0.14124949
0.33000000,6.3750158E-003,0.013012390,0.077922537,0.14972223,0.14071794
0.34000000,6.1177679E-003,0.013140393,0.077462569,0.15033400,0.14017616
0.35000000,5.8591833E-003,0.013278683,0.076995263,0.15097085,0.13962467
0.36000000,5.5997748E-003,0.013427782,0.076521136,0.15163335,0.13906399
0.37000000,5.3400631E-003,0.013588220,0.076040716,0.15232205,0.13849466
0.38000000,5.0805758E-003,0.013760532,0.075554537,0.15303753,0.13791723
0.39000000,4.8218462E-003,0.013945263,0.075063140,0.15378036,0.13733223
0.40000000,4.5644132E-003,0.014142958,0.074567071,0.15455112,0.13674024
0.41000000,4.3088194E-003,0.014354171,0.074066882,0.15535040,0.13614179
0.42000000,4.0556113E-003,0.014579455,0.073563128,0.15617879,0.13553747
0.43000000,3.8053371E-003,0.014819368,0.073056366,0.15703688,0.13492784
0.44000000,3.5585469E-003,0.015074467,0.072547157,0.15792526,0.13431347
0.45000000,3.3157907E-003,0.015345311,0.072036062,0.15884454,0.13369492
0.46000000,3.0776176E-003,0.015632457,0.071523640,0.15979530,0.13307279
0.47000000,2.8445745E-003,0.015936458,0.071010452,0.16077814,0.13244762
0.48000000,2.6172050E-003,0.016257866,0.070497052,0.16179365,0.13182000
0.49000000,2.3960479E-003,0.016597224,0.069983995,0.16284241,0.13119048
0.50000000,2.1816357E-003,0.016955072,0.069471827,0.16392499,0.13055964
0.51000000,1.9744934E-003,0.017331941,0.068961088,0.16504198,0.12992802
0.52000000,1.7751367E-003,0.017728349,0.068452311,0.16619393,0.12929617
0.53000000,1.5840704E-003,0.018144808,0.067946017,0.16738139,0.12866463
0.54000000,1.4017866E-003,0.018581811,0.067442718,0.16860490,0.12803393
0.55000000,1.2287632E-003,0.019039840,0.066942910,0.16986498,0.12740457
0.56000000,1.0654616E-003,0.019519358,0.066447075,0.17116213,0.12677707
0.57000000,9.1232480E-004,0.020020808,0.065955679,0.17249684,0.12615189
0.58000000,7.6977532E-004,0.020544613,0.065469166,0.17386958,0.12552952
0.59000000,6.3821294E-004,0.021091173,0.064987960,0.17528078,0.12491039
0.60000000,5.1801235E-004,0.021660859,0.064512463,0.17673086,0.12429492
0.61000000,4.0952063E-004,0.022254015,0.064043049,0.17822021,0.12368352
0.62000000,3.1305469E-004,0.022870953,0.063580062,0.17974917,0.12307654
0.63000000,2.2889848E-004,0.023511952,0.063123817,0.18131808,0.12247433
0.64000000,1.5730010E-004,0.024177251,0.062674594,0.18292721,0.12187719
0.65000000,9.8468780E-005,0.024867052,0.062232636,0.18457680,0.12128540
0.66000000,5.2571650E-005,0.025581510,0.061798145,0.18626705,0.12069917
0.67000000,1.9730365E-005,0.026320734,0.061371280,0.18799811,0.12011871
0.68000000,1.7548760E-008,0.027084784,0.060952153,0.18977008,0.11954415
0.69000000,-6.5469488E-006,0.027873662,0.060540826,0.19158301,0.11897558
0.70000000,7.7228217E-014,0.028687313,0.060137305,0.19343686,0.11841304
0.71000000,1.9560647E-005,0.029525619,0.059741537,0.19533157,0.11785652
